TCGA-3C-AALI	TCGA-A1-A0SO	TCGA-A2-A04P	TCGA-A2-A04Q	TCGA-A2-A04T	TCGA-A2-A04U	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D2	TCGA-A2-A0ST	TCGA-A2-A0SX	TCGA-A2-A0T0	TCGA-A2-A0T2	TCGA-A2-A0YE	TCGA-A2-A0YJ	TCGA-A2-A0YM	TCGA-A2-A1G1	TCGA-A2-A25F	TCGA-A2-A3XT	TCGA-A2-A3XU	TCGA-A2-A3XX	TCGA-A2-A4S1	TCGA-A7-A0CE	TCGA-A7-A0DA	TCGA-A7-A13D	TCGA-A7-A13E	TCGA-A7-A26F	TCGA-A7-A26G	TCGA-A7-A26I	TCGA-A7-A4SD	TCGA-A7-A4SE	TCGA-A7-A5ZV	TCGA-A7-A6VV	TCGA-A8-A07O	TCGA-AC-A2BK	TCGA-AC-A62X	TCGA-AC-A6IW	TCGA-AC-A8OQ	TCGA-AN-A04D	TCGA-AN-A0AL	TCGA-AN-A0AR	TCGA-AN-A0AT	TCGA-AN-A0FJ	TCGA-AN-A0FL	TCGA-AN-A0FX	TCGA-AN-A0XU	TCGA-AO-A0J6	TCGA-AO-A124	TCGA-AO-A128	TCGA-AO-A129	TCGA-AO-A12F	TCGA-AO-A1KR	TCGA-AR-A0TP	TCGA-AR-A0TS	TCGA-AR-A0U0	TCGA-AR-A0U4	TCGA-AR-A1AH	TCGA-AR-A1AI	TCGA-AR-A1AJ	TCGA-AR-A1AQ	TCGA-AR-A1AY	TCGA-AR-A24Q	TCGA-AR-A251	TCGA-AR-A256	TCGA-AR-A5QQ	TCGA-B6-A0I2	TCGA-B6-A0IJ	TCGA-B6-A0IQ	TCGA-B6-A0RT	TCGA-B6-A0RU	TCGA-B6-A0WX	TCGA-B6-A0X1	TCGA-BH-A0AV	TCGA-BH-A0B3	TCGA-BH-A0B9	TCGA-BH-A0BW	TCGA-BH-A0DL	TCGA-BH-A0E0	TCGA-BH-A0E6	TCGA-BH-A0RX	TCGA-BH-A18G	TCGA-BH-A18Q	TCGA-BH-A18T	TCGA-BH-A18V	TCGA-BH-A1F0	TCGA-BH-A1F6	TCGA-BH-A1FC	TCGA-C8-A12K	TCGA-C8-A12V	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A1HJ	TCGA-C8-A27B	TCGA-D8-A142	TCGA-D8-A143	TCGA-D8-A147	TCGA-D8-A1JK	TCGA-D8-A1JL	TCGA-D8-A1JM	TCGA-D8-A1XK	TCGA-D8-A1XQ	TCGA-D8-A27F	TCGA-D8-A27H	TCGA-D8-A27M	TCGA-E2-A14N	TCGA-E2-A14X	TCGA-E2-A14Y	TCGA-E2-A150	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A1AZ	TCGA-E2-A1B6	TCGA-E2-A1LG	TCGA-E2-A1LK	TCGA-E2-A1LL	TCGA-E2-A574	TCGA-E9-A1N8	TCGA-E9-A1N9	TCGA-E9-A1ND	TCGA-E9-A22G	TCGA-E9-A243	TCGA-E9-A244	TCGA-E9-A3QA	TCGA-E9-A5FL	TCGA-EW-A1P4	TCGA-EW-A1P8	TCGA-EW-A1PB	TCGA-EW-A6SB	TCGA-GM-A2DF	TCGA-GM-A3XL	TCGA-HN-A2NL	TCGA-LL-A5YP	TCGA-LL-A6FR	TCGA-LL-A8F5	TCGA-OL-A5D7	TCGA-OL-A5RW	TCGA-OL-A5S0	TCGA-OL-A66I	TCGA-OL-A6VO	TCGA-PL-A8LV	TCGA-S3-AA0Z	TCGA-S3-AA10	TCGA-S3-AA15
ACACA	0.968677715	2.257030754	1.67337902	0.360359769	1.106351929	1.512312026	1.617682775	2.2627775	1.382300908	0.80366614	1.035031221	2.215035893	1.949997505	2.437173789	1.915209431	1.587591089	0.481368183	1.264314428	1.397276608	1.796752231	1.061785489	1.022510323	1.962410138	1.172975334	1.579204903	1.043241455	1.766906357	0.607287217	1.811554519	1.414573577	0.121653117	1.582448525	0.420230279	2.194458224	0.865441618	2.532626769	0.016190499	-0.20100688	2.057616327	1.799697717	2.108804434	1.74211283	1.758395136	1.802942533	0.849257293	1.629180366	1.888651917	2.307129954	1.104556172	1.2438647	2.524415572	2.102622021	1.173575918	1.273713577	1.467757695	1.040118549	1.982627748	1.691837101	1.626157645	1.266878215	1.225786347	-0.281275192	1.074331258	1.595307242	1.957998077	3.192962375	1.491159479	2.429593171	0.757950361	2.024998606	1.099073274	1.962157509	1.349394284	1.434032186	1.177082729	2.33819679	1.286439038	2.143399683	1.952447516	1.077268108	0.818131624	0.915744363	2.368652389	1.254912286	1.712757436	1.123551962	2.436511016	1.464218818	0.770306319	1.073130392	0.927644495	1.724989926	0.631867813	1.688527635	2.558671617	0.825012104	0.859070253	1.609480572	1.269317814	0.716093719	1.149094506	1.139470376	0.153768156	0.845143002	2.409577004	0.627367128	1.810881556	0.951734591	1.455716031	2.497506313	1.843884424	1.546240812	0.207306652	1.536741425	1.085495214	1.295411067	0.566872686	3.102607217	1.621736496	0.753579617	1.250358039	1.001970434	0.952963758	2.393090306	1.055232323	1.943451	1.749779453	1.149381766	1.151090123	2.032540377	1.98510985	1.878153178	0.614128547	0.241619893	1.110279213	1.070751673	1.117986215	1.309153834	1.580528937	1.086022429	1.232013654	0.983611333	0.718353759
ACVRL1	-0.657991515	-0.713854962	-0.266802248	-0.02177523	-0.529504993	-0.434280783	-0.831497657	-0.454719689	-0.234510298	-0.438189676	-0.338820193	-0.840617306	-0.751988094	-0.738764777	-0.706702795	-0.219658565	-0.333093238	-0.714057788	-0.309992244	-0.330519246	-0.129393742	-0.251068431	-0.558203763	-0.825707096	-0.399212828	-0.884797402	-0.514740031	-0.29612868	-0.639343644	-0.231665505	0.096689734	-0.238966216	-0.52632111	-0.267075696	-0.611148863	-0.348752856	-0.627819739	0.076410331	-0.447926664	-0.406250196	-0.791269638	-0.511784896	-0.376478171	-0.434664289	-0.235136654	-0.557274176	-0.290458792	-0.282312536	-0.309073304	-0.523723599	-0.553213512	-0.64747599	-0.683329777	-0.72812558	-0.605940396	-0.094106518	-0.03400634	-0.64585096	-0.453663239	-0.459777323	-0.836224951	-0.604131129	-0.559452354	-0.601714347	-0.399013399	0.108773185	-0.379369559	-0.793541365	-0.038052075	-0.50580446	-0.455130514	-0.608998552	-0.316045458	-0.548734393	-0.668286083	-0.337421608	-0.650094741	-0.484226165	-0.748970819	0.148773767	-0.62702999	-0.671081253	-0.51764637	-0.648860066	-0.374867108	-0.394346131	-0.733435377	-0.510711233	-0.589406872	-0.399526915	-0.657782064	-0.825969927	-0.276507223	-0.846428357	-0.841940208	-0.838655221	-0.633163021	-0.022644741	-0.493803088	-0.002174988	-0.599268386	-0.603302584	-0.682462889	-0.50941187	-0.655947725	-0.400161155	-0.624027295	-0.727791913	-0.480651032	-0.819884808	-0.307557608	-0.478584772	-0.051521243	-0.287744042	-0.612387648	-0.424887196	-0.751594786	-0.828730156	-0.300028314	-0.492476691	-0.549737196	-0.643183473	-0.531255533	-0.272068705	-0.43132037	-0.699209444	-0.18623056	-0.30011035	-0.398763616	-0.381660672	-0.152955539	-0.46760781	-0.156977333	-0.525622063	-0.314986097	-0.563787094	0.00335198	0.029271725	-0.939327603	-0.331118851	-0.675451969	-0.653014695	0.139955854
AKT1	0.933939575	1.52519211	2.116433751	0.447718403	1.086445459	0.842859812	1.075902767	0.342189938	0.716304228	0.641102875	1.231848487	1.80386596	0.705462685	1.693054137	0.748654942	0.874012494	0.647683122	1.209571837	1.548832218	0.506464816	0.435047905	1.050633135	0.930450595	1.353467012	0.785341457	0.416867824	0.843351765	1.089803924	1.427345791	0.677366815	0.449181656	0.270002112	1.549614876	-0.009396274	0.396695223	0.721512407	1.002404088	1.583190785	0.735638723	0.870501054	1.276453465	0.80216533	1.176756362	1.4314456	0.60635382	0.622817702	0.991381092	0.585912255	1.160937641	1.003037762	1.055740241	0.712438623	1.315732094	1.137442627	1.007671989	0.213767027	0.622468764	0.554363497	0.914866033	0.798147663	0.88374005	0.971372824	1.382807448	1.042399264	0.605502081	0.720885017	1.080952687	0.206207697	1.035761972	1.065210848	1.402487714	0.946217414	0.646533579	0.806292385	0.659294152	2.127797466	1.213417612	1.427533301	0.754072295	0.287717103	1.170143806	0.875819089	0.664127678	0.947041576	1.077045755	0.717930317	1.263628221	1.16951581	0.850139716	-0.578069132	0.919230487	1.154972008	0.056627145	1.31854904	1.313977936	1.269334523	0.524508232	1.316174106	0.643305245	-1.018081066	1.134416884	0.270336758	1.677298113	1.442167591	0.786119612	0.505081746	0.534330499	1.025596865	1.32971996	0.954459855	0.193482874	0.509088614	0.517986255	0.808552209	0.817592734	0.863559787	1.001900787	1.498141935	1.389020849	0.690828632	0.462060522	1.19841559	1.059089138	1.082042543	0.37643209	0.968762028	1.135018511	0.769185292	0.921303184	1.247066243	0.901995624	0.950415003	1.19845042	0.976509366	0.390307523	0.990536939	0.719380036	0.671012269	1.185829859	1.073159472	0.426919208	1.095147359	-2.153064125
AKT2	0.933939575	1.52519211	2.116433751	0.447718403	1.086445459	0.842859812	1.075902767	0.342189938	0.716304228	0.641102875	1.231848487	1.80386596	0.705462685	1.693054137	0.748654942	0.874012494	0.647683122	1.209571837	1.548832218	0.506464816	0.435047905	1.050633135	0.930450595	1.353467012	0.785341457	0.416867824	0.843351765	1.089803924	1.427345791	0.677366815	0.449181656	0.270002112	1.549614876	-0.009396274	0.396695223	0.721512407	1.002404088	1.583190785	0.735638723	0.870501054	1.276453465	0.80216533	1.176756362	1.4314456	0.60635382	0.622817702	0.991381092	0.585912255	1.160937641	1.003037762	1.055740241	0.712438623	1.315732094	1.137442627	1.007671989	0.213767027	0.622468764	0.554363497	0.914866033	0.798147663	0.88374005	0.971372824	1.382807448	1.042399264	0.605502081	0.720885017	1.080952687	0.206207697	1.035761972	1.065210848	1.402487714	0.946217414	0.646533579	0.806292385	0.659294152	2.127797466	1.213417612	1.427533301	0.754072295	0.287717103	1.170143806	0.875819089	0.664127678	0.947041576	1.077045755	0.717930317	1.263628221	1.16951581	0.850139716	-0.578069132	0.919230487	1.154972008	0.056627145	1.31854904	1.313977936	1.269334523	0.524508232	1.316174106	0.643305245	-1.018081066	1.134416884	0.270336758	1.677298113	1.442167591	0.786119612	0.505081746	0.534330499	1.025596865	1.32971996	0.954459855	0.193482874	0.509088614	0.517986255	0.808552209	0.817592734	0.863559787	1.001900787	1.498141935	1.389020849	0.690828632	0.462060522	1.19841559	1.059089138	1.082042543	0.37643209	0.968762028	1.135018511	0.769185292	0.921303184	1.247066243	0.901995624	0.950415003	1.19845042	0.976509366	0.390307523	0.990536939	0.719380036	0.671012269	1.185829859	1.073159472	0.426919208	1.095147359	-2.153064125
AKT3	0.933939575	1.52519211	2.116433751	0.447718403	1.086445459	0.842859812	1.075902767	0.342189938	0.716304228	0.641102875	1.231848487	1.80386596	0.705462685	1.693054137	0.748654942	0.874012494	0.647683122	1.209571837	1.548832218	0.506464816	0.435047905	1.050633135	0.930450595	1.353467012	0.785341457	0.416867824	0.843351765	1.089803924	1.427345791	0.677366815	0.449181656	0.270002112	1.549614876	-0.009396274	0.396695223	0.721512407	1.002404088	1.583190785	0.735638723	0.870501054	1.276453465	0.80216533	1.176756362	1.4314456	0.60635382	0.622817702	0.991381092	0.585912255	1.160937641	1.003037762	1.055740241	0.712438623	1.315732094	1.137442627	1.007671989	0.213767027	0.622468764	0.554363497	0.914866033	0.798147663	0.88374005	0.971372824	1.382807448	1.042399264	0.605502081	0.720885017	1.080952687	0.206207697	1.035761972	1.065210848	1.402487714	0.946217414	0.646533579	0.806292385	0.659294152	2.127797466	1.213417612	1.427533301	0.754072295	0.287717103	1.170143806	0.875819089	0.664127678	0.947041576	1.077045755	0.717930317	1.263628221	1.16951581	0.850139716	-0.578069132	0.919230487	1.154972008	0.056627145	1.31854904	1.313977936	1.269334523	0.524508232	1.316174106	0.643305245	-1.018081066	1.134416884	0.270336758	1.677298113	1.442167591	0.786119612	0.505081746	0.534330499	1.025596865	1.32971996	0.954459855	0.193482874	0.509088614	0.517986255	0.808552209	0.817592734	0.863559787	1.001900787	1.498141935	1.389020849	0.690828632	0.462060522	1.19841559	1.059089138	1.082042543	0.37643209	0.968762028	1.135018511	0.769185292	0.921303184	1.247066243	0.901995624	0.950415003	1.19845042	0.976509366	0.390307523	0.990536939	0.719380036	0.671012269	1.185829859	1.073159472	0.426919208	1.095147359	-2.153064125
ANXA1	2.116870023	0.009785404	0.417670734	0.498542051	-0.027356764	-0.172555204	0.638589392	1.402357895	0.426152855	0.529350588	0.094386383	0.672854842	-0.018091084	-0.507711421	0.387790277	0.320252578	1.012983607	0.715729033	-0.089361788	1.383325203	0.252364448	1.042027252	-0.532599584	0.468408833	0.212925065	-0.281552634	1.188625934	1.230458508	0.612467118	0.097946106	0.458727613	0.10220675	0.866201672	-0.040466763	-1.191444541	-0.019359119	0.553319162	3.135877915	-0.531739993	0.464119592	0.803342879	0.864613536	0.135578122	-0.157908816	0.900481904	-0.794473197	1.347929483	-0.49998318	0.481019105	1.434258751	0.515263549	-0.743781601	0.638639543	0.330302238	0.139409697	0.363503158	-0.255097641	-0.082847848	1.126364736	-0.088159574	-0.151777844	0.805487671	0.917676126	0.178718697	2.320901823	0.735197684	0.46056127	-1.321329428	0.456366515	-0.804664479	0.951688918	0.481675171	0.691146602	-0.027900218	-0.218724144	0.754171347	1.034997193	-0.506676422	0.703137611	0.521639652	1.224752477	-0.015571747	-0.015179417	-0.495149887	0.171395757	0.787542632	-0.361746937	0.336810376	0.166301935	0.507787329	0.213942875	0.442260983	0.969323319	1.279022916	-1.350789571	-0.319247016	0.263922924	0.862866381	-0.901625906	-0.353020504	-0.021525844	0.10424864	1.10943747	0.690426994	1.291511829	-0.539695654	1.050605829	1.555363406	-0.855144989	0.985175024	-0.613426556	0.14315318	-0.068981955	0.534616489	0.660752824	0.651044298	-0.775789416	-0.399649561	0.78425697	-0.966461839	0.473354188	0.985005696	0.786329329	1.113155948	1.01702785	0.157595306	0.842283444	0.429799462	0.631911807	0.327057177	1.462123547	0.375712289	0.686956325	1.319288485	0.92480128	0.273315938	1.039009821	2.576197375	0.315478576	1.235059527	-0.06844393	0.425014552	1.566191363
ANXA7	-1.066847121	-0.976218872	-0.953984319	-0.801094731	-0.988198508	-0.599833498	-0.947571335	-0.726418989	-0.827544679	-0.672970233	-0.739760619	-1.059753571	-0.835350249	-1.090429013	-1.035158828	-0.7773307	-0.63480196	-1.170807614	-0.750516306	-0.718412005	-0.847343916	-0.902354614	-0.968449859	-1.132551853	-1.027114142	-1.236124947	-1.133659991	-0.668206665	-1.005437796	-0.89354308	-0.883743887	-0.71959045	-0.824719821	-0.388597519	-1.051558987	-0.751278735	-0.794272951	-1.171730017	-0.858367141	-0.907088096	-1.096338331	-0.906058466	-0.527618506	-0.655135311	-1.018174793	-0.986308703	-0.824415074	-0.930622559	-0.651400637	-0.723215213	-0.936761643	-0.630769565	-0.682769185	-0.877538839	-0.796728259	-0.440198434	-0.882034069	-0.895948167	-0.413177323	-1.136678463	-1.163072291	-1.101012939	-0.998534873	-0.904581903	-0.766375219	-0.501163413	-0.705850444	-1.226442332	-0.777845323	-0.892244251	-0.63835718	-0.875039936	-0.936664085	-0.915180379	-0.957823019	-0.971305514	-0.901049607	-0.845723561	-0.550385788	-0.766911281	-1.127414789	-0.8853478	-0.885177094	-1.014839813	-0.93179564	-0.950490383	-1.181833916	-0.664891333	-0.97668896	-0.665183869	-0.830696454	-1.410142071	-0.392378657	-1.033690895	-0.981626272	-0.880335421	-0.919002638	-0.844615411	-0.654286287	-0.658637908	-1.173116512	-1.00512852	-1.056124278	-1.073009595	-1.09932057	-0.769389572	-0.956152218	-0.861195689	-0.864754608	-1.042294252	-0.848769254	-0.771872609	-0.849236705	-0.617620239	-1.083906559	-0.939110706	-1.070581239	-0.913662824	-0.893771984	-0.991679469	-0.659622136	-0.841092074	-0.675770423	-0.654483669	-0.837450154	-0.940471416	-0.816396268	-0.473152031	-0.82902282	-0.666161653	-0.825808734	-0.928619541	-0.900713944	-0.682532965	-0.440117745	-0.85968021	-0.928837651	-1.05020015	-0.824719821	-0.814361183	-1.025537573	-0.866516445	-0.838828377
AR	-0.5677053	-0.871441904	-0.731108943	0.363862452	-0.653379722	-0.455803515	-0.653749033	-0.426832	-0.312645873	-0.714143899	-0.541293642	-0.314007721	-0.723801404	-0.70814947	-0.700333452	-1.018256368	0.037540178	-0.591299136	-0.559331434	-0.498479588	0.477181837	0.277301749	-0.832045518	-0.476782175	-0.30890178	-1.070145682	0.22157804	-0.112569815	-0.387667436	-0.590128298	-0.203281527	-0.678416967	-0.736717652	-0.705802313	-0.780381434	0.647719471	-0.518553835	0.511391847	-0.655890117	-0.660070833	1.441550203	-0.798615273	-0.399755864	-0.178091288	0.000187724	-0.87677106	-0.817903946	-0.806236827	-0.73757955	-0.59877034	0.801289701	1.292403432	-0.664914667	-0.859105258	-0.547967936	-0.036578772	-0.325118044	-0.913314401	-0.621152756	-0.353840168	-0.481057686	-0.314400339	0.171547895	0.457896332	-1.302484099	0.058232777	-0.331684223	0.493042595	-0.030557149	-0.509216028	0.000729773	-0.417462027	-0.335676853	-0.359211321	-0.115029592	-0.599627473	-0.530779987	-0.146699761	-1.028592683	0.563139164	-0.918174658	-0.43925315	-0.378057323	-0.962968381	-1.032200499	-0.624758111	-0.382171231	-0.426587434	-0.440217649	0.688716225	-0.224749122	-0.807216758	-0.58378304	-0.301046787	0.073182711	-0.695249853	0.568041872	-0.657107446	-0.690357431	0.069264601	-0.675493401	-0.636387255	-0.491136621	-0.464596631	0.099237798	0.065191599	-0.240022523	-0.541175777	-0.911106677	-0.5798189	0.022647333	-0.240308301	0.507742991	-0.626211244	-0.279982228	-0.879055197	-0.816883484	2.481897272	-0.865457514	-0.615989093	-0.260005286	0.113273714	-0.419827196	-0.366462461	0.069446402	0.256050667	-0.853806239	-0.011313613	-0.429003323	-0.528403569	0.313049728	-0.648906754	-0.585515513	-0.718204393	-1.087917436	-0.84292301	-0.674633147	0.743820278	-1.220775147	0.332344046	-1.012319993	-0.937999	0.88566522
ARID1A	0.743307446	0.498004828	-0.052719951	0.156921972	0.126536331	0.313191154	0.247321642	0.005763198	0.101839611	0.157372609	0.535497779	-0.462585103	0.041229324	-0.032748322	-0.484057527	0.346714036	-0.060272949	-0.174037963	0.158692626	0.270252973	0.06511185	0	-0.150414715	0.044718468	0.134890687	0.125140054	-0.483545478	0.02359799	0.062836738	0	0	0	0	0.306205852	0.365115096	0	0	0	0.265305828	0.164263891	-0.003172474	0.143082477	0.723819769	0.043501838	0.305352677	-0.571283646	-0.03395814	0.303554382	0.048025206	0.062902711	0.19764115	0.058162476	0.125389077	0.211137861	-0.21616705	0.170451234	0.151432872	-0.122815194	0.559540059	0.097744122	0.008655813	-0.254767375	-0.072914425	-0.143537216	0	-0.116641022	0.199742477	0.854489192	0.146942885	0.035574436	-0.013888261	-0.125719537	0.000676579	0.129926497	0.056392812	-0.034447143	0.150243621	0.400868381	-0.604062363	0.030954811	0.163645558	0.137970365	0.088209822	0.007377312	-0.496556049	-0.032778867	0.821669366	0.262633706	-0.143685132	-0.267152284	0.017113032	0.016939348	-0.014868742	-0.143975027	0.642266646	0.318472874	-0.193414594	-0.064832835	-0.21695001	0.092575681	-0.187242462	-0.097518939	0.044564836	-0.093210062	-0.211335702	0.281367827	0.233315846	-0.032910916	0.528192582	0.175535894	0.660154827	-0.110638203	0.102614279	-0.018756667	-0.076357652	0	0.339313774	0.185680294	-0.231555076	0.651156115	0.242331801	0.087517408	-0.00274912	0	0.144105932	-0.232251232	-0.280483556	0	-0.185917973	-0.033484426	-0.450929053	0	0	0	0	0	0	0	0	0	0	0	0
ASNS	0.144777442	-0.083321871	-0.512293452	-0.783950161	0.302174625	-0.213115749	-0.980509384	-0.241420336	0.37143217	-0.191367773	-0.313974449	0.034756214	-0.172826474	-0.7618001	0.225736037	-0.342533869	-1.165170469	0.312516704	-0.173995213	-0.036101852	-1.044047812	-1.13438242	0.119751202	-0.594141349	-0.265447205	-0.072417689	-0.748909801	-0.90435577	0.31860037	0.217093594	-0.12256829	-0.297407309	-0.526536782	-0.074898778	0.377167906	-0.761799691	-0.331407713	-0.508474105	-0.128923783	-0.686120646	0.002215944	-0.885240355	-0.286188887	0	-1.070041999	0.053321626	0.840523439	0.374016077	0.061791699	-0.810035886	-0.37802296	0.390187779	-0.718045225	-0.888452769	2.809255052	-0.149404613	-0.231923171	0.131641138	-0.052191129	0.193317073	-0.27700975	-0.345873706	-0.80394932	-0.141136346	-0.635575772	-0.905091989	0.16836836	0.46137379	-0.53630873	-0.162538211	-1.094850488	1.088972301	-1.019251752	0.106721333	-0.642388738	-0.266646739	-0.749692217	-0.728323094	0.042463147	-0.669440258	-1.329912169	-0.772482309	-0.363955353	0.515951807	-0.439515383	-0.299523568	0.431692382	-0.079012705	-0.632384551	-0.279875057	-0.736379701	0.796641784	0.374736177	0.195164457	-0.463129356	-0.21280379	-0.605035035	0.077673329	0.58783745	0.906910351	0.428874374	-0.156202578	-1.115261136	-0.003814868	0.944663392	-0.493869601	-0.636983237	-0.597256652	-0.247723435	-0.444486717	-0.735997942	-0.115755452	-0.591942734	-1.050479588	-1.023768332	-0.001761088	-1.078756101	-1.037651322	0.693416005	1.521013827	-0.159412612	-0.63649573	-0.246425504	-0.276586918	-0.887214042	-0.402565714	1.100713521	1.249427508	-0.339075653	0.105914999	-0.34841598	-0.550280412	-0.766476468	0.992091004	-0.733454612	-0.286558714	-0.495961103	-0.42854705	0.569178474	-0.283970623	-0.733486595	1.159031035	1.676006487
