Implication	Statistic(s)	P-value(s)
PARK7 low => BRCA2 high	2.9240383034426896	0.0
PARK7 low => BAX low	2.714160398109638	0.0
PARK7 high => BAX high	2.714160398109638	0.0
PARK7 low => BAX low AND PARK7 high => BAX high	2.714160398109638,2.714160398109638	0.0,0.0
STK11 high => PIK3CA low	2.512824250576573	0.0
STK11 low => BAX low	2.795344967686831	0.0
KDR high => PECAM1 high	3.0443870783668148	0.0
MSH6 low => MSH2 low	3.378319623460881	0.0
MSH6 high => MSH2 high	3.378319623460881	0.0
MSH6 low => MSH2 low AND MSH6 high => MSH2 high	3.378319623460881,3.378319623460881	0.0,0.0
MSH2 low => MSH6 low	3.378319623460881	0.0
MSH2 high => MSH6 high	3.378319623460881	0.0
MSH2 low => MSH6 low AND MSH2 high => MSH6 high	3.378319623460881,3.378319623460881	0.0,0.0
CCNB1 low => CDK1 low	2.8735244660769568	0.0
TP53BP1 low => BRCA2 low	2.893456933022473	0.0
TP53BP1 low => RICTOR low	2.5819888974716116	0.0
SMAD4 low => GAB2 low	2.589571847418252	0.0
XRCC1 high => GSK3A high	2.593094277313203	0.0
XRCC1 high => ERCC1 high	2.9546116038710957	0.0
CDK1 high => CCNB1 high	2.8735244660769568	0.0
ATM low => BIRC2 low	2.7386127875258306	0.0
ACVRL1 high => PECAM1 high	3.6181361349331636	0.0
GSK3A low => XRCC1 low	2.593094277313203	0.0
BRCA2 low => PARK7 high	2.9240383034426896	0.0
BRCA2 high => TP53BP1 high	2.893456933022473	0.0
BRCA2 high => ARID1A high	2.7340446228984634	0.0
BRCA2 low => NRAS low	2.869720215917757	0.0
GAB2 high => SMAD4 high	2.589571847418252	0.0
ARID1A low => BRCA2 low	2.7340446228984634	0.0
ARID1A high => MTOR high	2.6396480703843594	0.0
PIK3CA high => STK11 low	2.512824250576573	0.0
PIK3CA low => YAP1 low	2.5730700836107077	0.0
PIK3CA low => NRAS low	2.557448052364024	0.0
PECAM1 low => KDR low	3.0443870783668148	0.0
PECAM1 low => ACVRL1 low	3.6181361349331636	0.0
BIRC2 high => ATM high	2.7386127875258306	0.0
YAP1 high => PIK3CA high	2.5730700836107077	0.0
PRKAA1 low => RICTOR low	3.250418033315768	0.0
NRAS high => BRCA2 high	2.869720215917757	0.0
NRAS high => PIK3CA high	2.557448052364024	0.0
RICTOR high => TP53BP1 high	2.5819888974716116	0.0
RICTOR high => PRKAA1 high	3.250418033315768	0.0
MTOR low => ARID1A low	2.6396480703843594	0.0
ERCC1 low => XRCC1 low	2.9546116038710957	0.0
BAX low => PARK7 low	2.714160398109638	0.0
BAX high => PARK7 high	2.714160398109638	0.0
BAX low => PARK7 low AND BAX high => PARK7 high	2.714160398109638,2.714160398109638	0.0,0.0
BAX high => STK11 high	2.795344967686831	0.0
