Implication	Statistic(s)	P-value(s)
MRE11 low => GSK3B low	2.853068523537421	0.0
MRE11 low => BIRC2 low	3.8612291966536914	0.0
MRE11 high => CTNNB1 high	2.727977357881894	0.0
PARK7 high => SQSTM1 high	3.021660931112009	0.0
PARK7 high => DIABLO high	2.9310252627551834	0.0
PARK7 low => CASP9 low	2.806243040080456	0.0
PARK7 high => PIK3CA low	3.4355900058832094	0.0
PARK7 high => BIRC2 low	2.879144609812179	0.0
ETS1 low => PRKCA low	5.958187643906493	0.0
ETS1 high => ACVRL1 high	5.159844958911071	0.0
ETS1 high => PECAM1 high	5.441685428110253	0.0
STK11 low => TSC2 low	2.9755951785595207	0.0
STK11 high => GSK3B low	3.217598666159375	0.0
STK11 low => RAB11B low	4.466744589621805	0.0
AKT2 high => BCL2L1 high	2.62797450520358	0.0
AKT3 high => SMAD4 high	2.9814239699997196	0.0
CHEK1 low => MSH6 low	2.7386127875258306	0.0
CHEK1 high => CDK1 high	4.934522729009037	0.0
CHEK1 low => RAD51 low	5.046083923495819	0.0
STMN1 low => TUBA1B low	4.146948649138491	0.0
G6PD low => TSC1 high	2.788866755113585	0.0
G6PD low => BIRC2 high	2.5617376914898995	0.0
MAP2K1 high => RAB25 low	2.9059326290271157	0.0
TSC2 high => STK11 high	2.9755951785595207	0.0
PRKCA high => ETS1 high	5.958187643906493	0.0
TSC1 low => G6PD high	2.788866755113585	0.0
TSC1 high => DIABLO low	2.7224556389190906	0.0
TSC1 low => BCL2L11 low	3.007237646224449	0.0
MSH6 high => CHEK1 high	2.7386127875258306	0.0
MSH6 low => MSH2 low	2.7956733488882803	0.0
MSH6 high => MSH2 high	2.7956733488882803	0.0
MSH6 low => MSH2 low AND MSH6 high => MSH2 high	2.7956733488882803,2.7956733488882803	0.0,0.0
MSH6 low => VHL low	2.6357861106418765	0.0
MSH6 low => RAD50 low	2.8154625318573645	0.0
MSH6 low => BAX high	3.016620625799671	0.0
MSH6 high => BAX low	3.016620625799671	0.0
MSH6 low => BAX high AND MSH6 high => BAX low	3.016620625799671,3.016620625799671	0.0,0.0
CCNE2 low => MSH2 low	3.6101708177499487	0.0
MSH2 low => MSH6 low	2.7956733488882803	0.0
MSH2 high => MSH6 high	2.7956733488882803	0.0
MSH2 low => MSH6 low AND MSH2 high => MSH6 high	2.7956733488882803,2.7956733488882803	0.0,0.0
MSH2 high => CCNE2 high	3.6101708177499487	0.0
MSH2 high => BCL2L11 high	2.586949495507729	0.0
MSH2 high => RICTOR high	2.6413527189768717	0.0
MSH2 low => RAB11B high	2.7497228241690284	0.0
MSH2 high => RAB11B low	2.7497228241690284	0.0
MSH2 low => RAB11B high AND MSH2 high => RAB11B low	2.7497228241690284,2.7497228241690284	0.0,0.0
MSH2 low => ERCC1 high	2.958039891549808	0.0
CCNE1 low => TUBA1B low	4.347413023856832	0.0
CLDN7 high => ATM low	4.439406867289068	0.0
SQSTM1 low => PARK7 low	3.021660931112009	0.0
SQSTM1 low => NRAS high	2.90267668108138	0.0
TP53 high => YWHAE high	2.8333333333333335	0.0
NOTCH1 high => BECN1 low	2.537523278759015	0.0
DIABLO low => PARK7 low	2.9310252627551834	0.0
DIABLO high => TSC1 low	2.7224556389190906	0.0
DIABLO high => PRDX1 high	3.255173397248424	0.0
DIABLO low => TUBA1B low	2.6711673731039647	0.0
PIK3R2 low => EEF2 low	3.3646329245522653	0.0
BCL2L11 high => TSC1 high	3.007237646224449	0.0
BCL2L11 low => MSH2 low	2.586949495507729	0.0
BCL2L11 low => PIK3CA low	3.1476486950884954	0.0
BCL2L11 high => MTOR high	2.893456933022473	0.0
BCL2L11 high => ERCC1 low	2.541325113662818	0.0
PRDX1 low => DIABLO low	3.255173397248424	0.0
PRDX1 high => TUBA1B high	3.155542236844666	0.0
DVL3 low => FN1 low	2.6655699499159153	0.0
TP53BP1 high => BRAF high	3.6968455021364726	0.0
TP53BP1 high => GSK3B high	3.493335058437492	0.0
TP53BP1 high => YBX1 low	2.8504385627478452	0.0
TP53BP1 high => VHL high	3.464101615137755	0.0
TP53BP1 high => RAD50 high	3.559026084010437	0.0
TP53BP1 high => BAX low	3.385309064224042	0.0
SMAD1 low => RAB11B high	2.5819888974716116	0.0
WWTR1 high => EIF4G1 high	2.893456933022473	0.0
SMAD4 low => AKT3 low	2.9814239699997196	0.0
SMAD4 high => GSK3B high	2.670024767312939	0.0
SMAD4 high => PIK3CA high	2.6950246556825492	0.0
SMAD4 high => RICTOR high	2.8627123416821876	0.0
SMAD4 high => BAX low	3.098386676965933	0.0
FN1 high => DVL3 high	2.6655699499159153	0.0
XRCC1 high => MAPK1 low	2.68741924943285	0.0
XRCC1 high => RAB11B high	2.7434131641941364	0.0
BRAF low => TP53BP1 low	3.6968455021364726	0.0
BRAF low => ARID1A low	2.9468984587725093	0.0
BRAF low => BIRC2 low	2.662876093795784	0.0
EEF2 high => PIK3R2 high	3.3646329245522653	0.0
CDK1 low => CHEK1 low	4.934522729009037	0.0
ATM high => CLDN7 low	4.439406867289068	0.0
ATM low => BIRC2 low	4.162204183118823	0.0
ATM high => BIRC2 high	4.162204183118823	0.0
ATM low => BIRC2 low AND ATM high => BIRC2 high	4.162204183118823,4.162204183118823	0.0,0.0
BCL2L1 low => AKT2 low	2.62797450520358	0.0
EIF4G1 low => WWTR1 low	2.893456933022473	0.0
ACVRL1 low => ETS1 low	5.159844958911071	0.0
ACVRL1 high => PECAM1 high	5.9225774015138954	0.0
ACVRL1 high => RAD50 low	3.496029493900505	0.0
YWHAE low => TP53 low	2.8333333333333335	0.0
GSK3B high => MRE11 high	2.853068523537421	0.0
GSK3B high => STK11 low	3.217598666159375	0.0
GSK3B low => TP53BP1 low	3.493335058437492	0.0
GSK3B low => SMAD4 low	2.670024767312939	0.0
GSK3B low => PTEN low	2.725540575476988	0.0
GSK3B low => ARID1A low	2.91547594742265	0.0
GSK3B low => NRAS low	3.2071349029490928	0.0
GSK3B low => VHL low	3.177444546511213	0.0
GSK3B low => MTOR low	2.9925834249951255	0.0
GSK3B high => ERCC1 low	2.943920288775949	0.0
PTEN high => GSK3B high	2.725540575476988	0.0
PTEN high => CASP7 high	2.939098139283618	0.0
PTEN low => PIK3CA low	3.283481384140924	0.0
PTEN low => BIRC2 low	2.5468581598680533	0.0
PTEN high => RAB25 low	3.194323669214456	0.0
YBX1 high => TP53BP1 low	2.8504385627478452	0.0
YBX1 high => TUBA1B high	2.779797245712847	0.0
YBX1 high => VHL low	2.889260474058461	0.0
YBX1 high => BID high	3.293790613225678	0.0
