Implication	Statistic(s)	P-value(s)
MRE11 low => MSH2 low	2.5298221281347035	0.0
MRE11 low => BIRC2 low	2.8867513459481287	0.0
TFRC low => EIF4G1 low	2.6076809620810595	0.0
ETS1 low => ANXA1 low	3.204163957519444	0.0
ETS1 high => PECAM1 high	3.1195684504548336	0.0
STK11 high => PDK1 low	2.5584085962673253	0.0
STK11 high => BAX high	2.555631037532609	0.0
AKT3 low => ANXA1 low	3.6960812963397522	0.0
PDK1 high => STK11 low	2.5584085962673253	0.0
TSC2 low => HSPA1A low	2.662876093795784	0.0
PRKCA low => TIGAR low	3.015113445777636	0.0
MSH6 low => MSH2 low	2.519157368278895	0.0
MSH6 high => MSH2 high	2.519157368278895	0.0
MSH6 low => MSH2 low AND MSH6 high => MSH2 high	2.519157368278895,2.519157368278895	0.0,0.0
MSH2 high => MRE11 high	2.5298221281347035	0.0
MSH2 low => MSH6 low	2.519157368278895	0.0
MSH2 high => MSH6 high	2.519157368278895	0.0
MSH2 low => MSH6 low AND MSH2 high => MSH6 high	2.519157368278895,2.519157368278895	0.0,0.0
PIK3R1 low => CTNNB1 low	3.070597894314954	0.0
CCNB1 low => CDK1 low	3.0822070014844885	0.0
CCNB1 high => FOXM1 high	3.049971406652093	0.0
CCNB1 high => RAD51 high	3.2057129853873145	0.0
EIF4EBP1 low => ARID1A high	2.5495097567963927	0.0
TP53BP1 high => MTOR high	2.53546276418555	0.0
WWTR1 low => YAP1 low	3.670651741928988	0.0
BRAF high => PIK3CA high	2.6794565082283346	0.0
CDK1 high => CCNB1 high	3.0822070014844885	0.0
EIF4G1 high => TFRC high	2.6076809620810595	0.0
ACVRL1 high => ANXA1 high	3.1284555362915407	0.0
ACVRL1 low => PECAM1 low	3.3028912953790814	0.0
ACVRL1 high => PECAM1 high	3.3028912953790814	0.0
ACVRL1 low => PECAM1 low AND ACVRL1 high => PECAM1 high	3.3028912953790814,3.3028912953790814	0.0,0.0
GSK3B low => PIK3CA low	2.8535691936340255	0.0
FOXM1 low => CCNB1 low	3.049971406652093	0.0
FOXM1 high => TUBA1B high	2.6065528283652384	0.0
FOXM1 high => RAD51 high	3.302097235674043	0.0
TUBA1B low => FOXM1 low	2.6065528283652384	0.0
ANXA1 high => ETS1 high	3.204163957519444	0.0
ANXA1 high => AKT3 high	3.6960812963397522	0.0
ANXA1 low => ACVRL1 low	3.1284555362915407	0.0
ANXA1 high => TIGAR high	2.5495097567963927	0.0
ARID1A low => EIF4EBP1 high	2.5495097567963927	0.0
PIK3CA low => BRAF low	2.6794565082283346	0.0
PIK3CA high => GSK3B high	2.8535691936340255	0.0
PECAM1 low => ETS1 low	3.1195684504548336	0.0
PECAM1 low => ACVRL1 low	3.3028912953790814	0.0
PECAM1 high => ACVRL1 high	3.3028912953790814	0.0
PECAM1 low => ACVRL1 low AND PECAM1 high => ACVRL1 high	3.3028912953790814,3.3028912953790814	0.0,0.0
BIRC2 high => MRE11 high	2.8867513459481287	0.0
BIRC2 low => YAP1 low	3.2057129853873145	0.0
BIRC2 high => BAX low	2.656844656620286	0.0
YAP1 high => WWTR1 high	3.670651741928988	0.0
YAP1 high => BIRC2 high	3.2057129853873145	0.0
MAPK9 low => RAD50 low	2.656844656620286	0.0
RICTOR low => RAD50 low	2.959181771496431	0.0
TIGAR high => PRKCA high	3.015113445777636	0.0
TIGAR low => ANXA1 low	2.5495097567963927	0.0
MTOR low => TP53BP1 low	2.53546276418555	0.0
RAD50 high => MAPK9 high	2.656844656620286	0.0
RAD50 high => RICTOR high	2.959181771496431	0.0
RAD51 low => CCNB1 low	3.2057129853873145	0.0
RAD51 low => FOXM1 low	3.302097235674043	0.0
BAX low => STK11 low	2.555631037532609	0.0
BAX high => BIRC2 low	2.656844656620286	0.0
CTNNB1 high => PIK3R1 high	3.070597894314954	0.0
HSPA1A high => TSC2 high	2.662876093795784	0.0
