Implication	Statistic(s)	P-value(s)
CDH1 low => CTNNB1 low	2.53546276418555	0.0
AKT2 low => AKT3 low	2.6781362536479447	0.0
AKT2 high => AKT3 high	2.6781362536479447	0.0
AKT2 low => AKT3 low AND AKT2 high => AKT3 high	2.6781362536479447,2.6781362536479447	0.0,0.0
AKT2 low => AKT1 low	2.6781362536479447	0.0
AKT2 high => AKT1 high	2.6781362536479447	0.0
AKT2 low => AKT1 low AND AKT2 high => AKT1 high	2.6781362536479447,2.6781362536479447	0.0,0.0
AKT3 low => AKT2 low	2.6781362536479447	0.0
AKT3 high => AKT2 high	2.6781362536479447	0.0
AKT3 low => AKT2 low AND AKT3 high => AKT2 high	2.6781362536479447,2.6781362536479447	0.0,0.0
AKT3 low => AKT1 low	2.6781362536479447	0.0
AKT3 high => AKT1 high	2.6781362536479447	0.0
AKT3 low => AKT1 low AND AKT3 high => AKT1 high	2.6781362536479447,2.6781362536479447	0.0,0.0
AKT1 low => AKT2 low	2.6781362536479447	0.0
AKT1 high => AKT2 high	2.6781362536479447	0.0
AKT1 low => AKT2 low AND AKT1 high => AKT2 high	2.6781362536479447,2.6781362536479447	0.0,0.0
AKT1 low => AKT3 low	2.6781362536479447	0.0
AKT1 high => AKT3 high	2.6781362536479447	0.0
AKT1 low => AKT3 low AND AKT1 high => AKT3 high	2.6781362536479447,2.6781362536479447	0.0,0.0
MSH6 low => MSH2 low	2.794782784191074	0.0
MSH6 low => FOXM1 low	2.901905000440047	0.0
MSH6 low => RBM15 low	3.0242918945456694	0.0
MSH2 high => MSH6 high	2.794782784191074	0.0
MSH2 low => HSPA1A high	2.53546276418555	0.0
ACACA high => FASN high	2.91547594742265	0.0
CCNB1 high => EIF4EBP1 high	2.5144742283748482	0.0
CCNB1 low => FOXM1 low	3.007926037591192	0.0
EIF4EBP1 low => CCNB1 low	2.5144742283748482	0.0
CAV1 high => RBM15 low	2.672612419124244	0.0
FASN low => ACACA low	2.91547594742265	0.0
FOXM1 high => MSH6 high	2.901905000440047	0.0
FOXM1 high => CCNB1 high	3.007926037591192	0.0
CASP7 high => LCK high	2.8535691936340255	0.0
TUBA1B low => RBM15 low	2.6803377634760492	0.0
RBM15 high => MSH6 high	3.0242918945456694	0.0
RBM15 high => CAV1 low	2.672612419124244	0.0
RBM15 high => TUBA1B high	2.6803377634760492	0.0
LCK low => CASP7 low	2.8535691936340255	0.0
CTNNB1 high => CDH1 high	2.53546276418555	0.0
HSPA1A low => MSH2 high	2.53546276418555	0.0
