Implication	Statistic(s)	P-value(s)
CDH1 low => CTNNB1 low	6.634861744929698	0.0
AKT2 low => AKT3 low	4.4831646670737815	0.0
AKT2 high => AKT3 high	4.4831646670737815	0.0
AKT2 low => AKT3 low AND AKT2 high => AKT3 high	4.4831646670737815,4.4831646670737815	0.0,0.0
AKT2 low => AKT1 low	4.4831646670737815	0.0
AKT2 high => AKT1 high	4.4831646670737815	0.0
AKT2 low => AKT1 low AND AKT2 high => AKT1 high	4.4831646670737815,4.4831646670737815	0.0,0.0
AKT2 low => TUBA1B low	3.0271498746570784	0.0
AKT3 low => AKT2 low	4.4831646670737815	0.0
AKT3 high => AKT2 high	4.4831646670737815	0.0
AKT3 low => AKT2 low AND AKT3 high => AKT2 high	4.4831646670737815,4.4831646670737815	0.0,0.0
AKT3 low => AKT1 low	4.4831646670737815	0.0
AKT3 high => AKT1 high	4.4831646670737815	0.0
AKT3 low => AKT1 low AND AKT3 high => AKT1 high	4.4831646670737815,4.4831646670737815	0.0,0.0
AKT3 low => TUBA1B low	3.0271498746570784	0.0
CHEK1 low => STAT5A high	3.074085229787879	0.0
CHEK1 low => ESR1 high	3.0443870783668148	0.0
KDR low => RPS6 low	3.4511902708651525	0.0
KDR low => LCK high	3.0346832331532387	0.0
AKT1 low => AKT2 low	4.4831646670737815	0.0
AKT1 high => AKT2 high	4.4831646670737815	0.0
AKT1 low => AKT2 low AND AKT1 high => AKT2 high	4.4831646670737815,4.4831646670737815	0.0,0.0
AKT1 low => AKT3 low	4.4831646670737815	0.0
AKT1 high => AKT3 high	4.4831646670737815	0.0
AKT1 low => AKT3 low AND AKT1 high => AKT3 high	4.4831646670737815,4.4831646670737815	0.0,0.0
AKT1 low => TUBA1B low	3.0271498746570784	0.0
RPS6 high => KDR high	3.4511902708651525	0.0
TSC2 low => TP53BP1 low	3.313482558678507	0.0
TSC2 high => TP53BP1 high	3.313482558678507	0.0
TSC2 low => TP53BP1 low AND TSC2 high => TP53BP1 high	3.313482558678507,3.313482558678507	0.0,0.0
TSC2 high => STAT5A high	3.4194016570604413	0.0
TSC1 low => STAT5A low	3.125053191036676	0.0
MSH6 low => RBM15 low	3.773233114398476	0.0
PIK3R2 low => PIK3R1 low	3.1583223394707516	0.0
PIK3R2 high => PIK3R1 high	3.1583223394707516	0.0
PIK3R2 low => PIK3R1 low AND PIK3R2 high => PIK3R1 high	3.1583223394707516,3.1583223394707516	0.0,0.0
GATA3 high => NF2 high	3.202469976984698	0.0
PIK3R1 low => PIK3R2 low	3.1583223394707516	0.0
PIK3R1 high => PIK3R2 high	3.1583223394707516	0.0
PIK3R1 low => PIK3R2 low AND PIK3R1 high => PIK3R2 high	3.1583223394707516,3.1583223394707516	0.0,0.0
BCL2L11 low => BRAF low	3.4127787539671264	0.0
DVL3 low => RBM15 low	3.034523576005521	0.0
TP53BP1 low => TSC2 low	3.313482558678507	0.0
TP53BP1 high => TSC2 high	3.313482558678507	0.0
TP53BP1 low => TSC2 low AND TP53BP1 high => TSC2 high	3.313482558678507,3.313482558678507	0.0,0.0
TP53BP1 high => ANXA1 low	3.5989416433697494	0.0
STAT5A low => CHEK1 high	3.074085229787879	0.0
STAT5A low => TSC2 low	3.4194016570604413	0.0
STAT5A high => TSC1 high	3.125053191036676	0.0
XRCC5 low => RBM15 low	3.532458190773844	0.0
BRAF high => BCL2L11 high	3.4127787539671264	0.0
ESR1 low => CHEK1 high	3.0443870783668148	0.0
NF2 low => GATA3 low	3.202469976984698	0.0
NF2 low => RBM15 low	3.391164991562634	0.0
CASP7 high => LCK high	3.427164213377373	0.0
TUBA1B high => AKT2 high	3.0271498746570784	0.0
TUBA1B high => AKT3 high	3.0271498746570784	0.0
TUBA1B high => AKT1 high	3.0271498746570784	0.0
ANXA1 high => TP53BP1 low	3.5989416433697494	0.0
RBM15 high => MSH6 high	3.773233114398476	0.0
RBM15 high => DVL3 high	3.034523576005521	0.0
RBM15 high => XRCC5 high	3.532458190773844	0.0
RBM15 high => NF2 high	3.391164991562634	0.0
RBM15 high => MTOR high	3.090472521826277	0.0
RBM15 high => RPS6KB1 high	3.7587992003526107	0.0
LCK low => KDR high	3.0346832331532387	0.0
LCK low => CASP7 low	3.427164213377373	0.0
COL6A1 high => MTOR low	3.265986323710904	0.0
MTOR low => RBM15 low	3.090472521826277	0.0
MTOR high => COL6A1 low	3.265986323710904	0.0
MTOR low => HSPA1A high	3.020256813503149	0.0
RAB11A low => RAB11B low	3.166606584385558	0.0
RAB11A high => RAB11B high	3.166606584385558	0.0
RAB11A low => RAB11B low AND RAB11A high => RAB11B high	3.166606584385558,3.166606584385558	0.0,0.0
RAB11B low => RAB11A low	3.166606584385558	0.0
RAB11B high => RAB11A high	3.166606584385558	0.0
RAB11B low => RAB11A low AND RAB11B high => RAB11A high	3.166606584385558,3.166606584385558	0.0,0.0
RPS6KB1 low => RBM15 low	3.7587992003526107	0.0
CTNNB1 high => CDH1 high	6.634861744929698	0.0
HSPA1A low => MTOR high	3.020256813503149	0.0
