Implication	Statistic(s)	P-value(s)
TFRC high => MSH6 high	2.1999999999999997	0.0
ETS1 low => ANXA1 low	2.280350850198276	0.0
CDH1 high => LCK low	2.121320343559643	0.0
CDH1 low => CTNNB1 low	3.4270513347575977	0.0
CDH1 high => CTNNB1 high	3.4270513347575977	0.0
CDH1 low => CTNNB1 low AND CDH1 high => CTNNB1 high	3.4270513347575977,3.4270513347575977	0.0,0.0
AKT2 low => AKT3 low	3.0134832140035357	0.0
AKT2 high => AKT3 high	3.0134832140035357	0.0
AKT2 low => AKT3 low AND AKT2 high => AKT3 high	3.0134832140035357,3.0134832140035357	0.0,0.0
AKT2 low => AKT1 low	3.0134832140035357	0.0
AKT2 high => AKT1 high	3.0134832140035357	0.0
AKT2 low => AKT1 low AND AKT2 high => AKT1 high	3.0134832140035357,3.0134832140035357	0.0,0.0
AKT3 low => AKT2 low	3.0134832140035357	0.0
AKT3 high => AKT2 high	3.0134832140035357	0.0
AKT3 low => AKT2 low AND AKT3 high => AKT2 high	3.0134832140035357,3.0134832140035357	0.0,0.0
AKT3 low => AKT1 low	3.0134832140035357	0.0
AKT3 high => AKT1 high	3.0134832140035357	0.0
AKT3 low => AKT1 low AND AKT3 high => AKT1 high	3.0134832140035357,3.0134832140035357	0.0,0.0
KDR high => CLDN7 high	2.041241452319315	0.0
KDR low => CTNNB1 low	2.23606797749979	0.0
AKT1 low => AKT2 low	3.0134832140035357	0.0
AKT1 high => AKT2 high	3.0134832140035357	0.0
AKT1 low => AKT2 low AND AKT1 high => AKT2 high	3.0134832140035357,3.0134832140035357	0.0,0.0
AKT1 low => AKT3 low	3.0134832140035357	0.0
AKT1 high => AKT3 high	3.0134832140035357	0.0
AKT1 low => AKT3 low AND AKT1 high => AKT3 high	3.0134832140035357,3.0134832140035357	0.0,0.0
MSH6 low => TFRC low	2.1999999999999997	0.0
MSH6 low => MSH2 low	2.0519567041703084	0.0
MSH6 high => CCNB1 high	2.2067091374694816	0.0
MSH2 high => MSH6 high	2.0519567041703084	0.0
