TCGA-3C-AALI	TCGA-A1-A0SO	TCGA-A2-A04P	TCGA-A2-A04Q	TCGA-A2-A04T	TCGA-A2-A04U	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D2	TCGA-A2-A0ST	TCGA-A2-A0SX	TCGA-A2-A0T0	TCGA-A2-A0T2	TCGA-A2-A0YE	TCGA-A2-A0YJ	TCGA-A2-A0YM	TCGA-A2-A1G1	TCGA-A2-A25F	TCGA-A2-A3XT	TCGA-A2-A3XU	TCGA-A2-A3XX	TCGA-A2-A4S1	TCGA-A7-A0CE	TCGA-A7-A0DA	TCGA-A7-A13D	TCGA-A7-A13E	TCGA-A7-A26F	TCGA-A7-A26G	TCGA-A7-A26I	TCGA-A7-A4SD	TCGA-A7-A4SE	TCGA-A7-A5ZV	TCGA-A7-A6VV	TCGA-A8-A07O	TCGA-AC-A2BK	TCGA-AC-A62X	TCGA-AC-A6IW	TCGA-AC-A8OQ	TCGA-AN-A04D	TCGA-AN-A0AL	TCGA-AN-A0AR	TCGA-AN-A0AT	TCGA-AN-A0FJ	TCGA-AN-A0FL	TCGA-AN-A0FX	TCGA-AN-A0XU	TCGA-AO-A0J6	TCGA-AO-A124	TCGA-AO-A128	TCGA-AO-A129	TCGA-AO-A12F	TCGA-AO-A1KR	TCGA-AR-A0TP	TCGA-AR-A0TS	TCGA-AR-A0U0	TCGA-AR-A0U4	TCGA-AR-A1AH	TCGA-AR-A1AI	TCGA-AR-A1AJ	TCGA-AR-A1AQ	TCGA-AR-A1AY	TCGA-AR-A24Q	TCGA-AR-A251	TCGA-AR-A256	TCGA-AR-A5QQ	TCGA-B6-A0I2	TCGA-B6-A0IJ	TCGA-B6-A0IQ	TCGA-B6-A0RT	TCGA-B6-A0RU	TCGA-B6-A0WX	TCGA-B6-A0X1	TCGA-BH-A0AV	TCGA-BH-A0B3	TCGA-BH-A0B9	TCGA-BH-A0BW	TCGA-BH-A0DL	TCGA-BH-A0E0	TCGA-BH-A0E6	TCGA-BH-A0RX	TCGA-BH-A18G	TCGA-BH-A18Q	TCGA-BH-A18T	TCGA-BH-A18V	TCGA-BH-A1F0	TCGA-BH-A1F6	TCGA-BH-A1FC	TCGA-C8-A12K	TCGA-C8-A12V	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A1HJ	TCGA-C8-A27B	TCGA-D8-A142	TCGA-D8-A143	TCGA-D8-A147	TCGA-D8-A1JK	TCGA-D8-A1JL	TCGA-D8-A1JM	TCGA-D8-A1XK	TCGA-D8-A1XQ	TCGA-D8-A27F	TCGA-D8-A27H	TCGA-D8-A27M	TCGA-E2-A14N	TCGA-E2-A14X	TCGA-E2-A14Y	TCGA-E2-A150	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A1AZ	TCGA-E2-A1B6	TCGA-E2-A1LG	TCGA-E2-A1LK	TCGA-E2-A1LL	TCGA-E2-A574	TCGA-E9-A1N8	TCGA-E9-A1N9	TCGA-E9-A1ND	TCGA-E9-A22G	TCGA-E9-A243	TCGA-E9-A244	TCGA-E9-A3QA	TCGA-E9-A5FL	TCGA-EW-A1P4	TCGA-EW-A1P8	TCGA-EW-A1PB	TCGA-EW-A6SB	TCGA-GM-A2DF	TCGA-GM-A3XL	TCGA-HN-A2NL	TCGA-LL-A5YP	TCGA-LL-A6FR	TCGA-LL-A8F5	TCGA-OL-A5D7	TCGA-OL-A5RW	TCGA-OL-A5S0	TCGA-OL-A66I	TCGA-OL-A6VO	TCGA-PL-A8LV	TCGA-S3-AA0Z	TCGA-S3-AA10	TCGA-S3-AA15
ACACA	10.9953007783811	11.6246355536285	10.0542515708336	9.71058088736996	10.2528546259514	10.2451010506259	10.5802020270696	10.8710658592706	10.7967372566199	10.440360501999	10.9548796834607	11.2456774809087	10.228626318332	11.228962952787	12.5432397003405	12.0073426905095	12.1814877283334	10.1434469922017	9.95823369231259	10.8621723970216	11.021417263315	9.12490708219868	11.3595628982039	10.7868658619459	11.4500719636306	11.6917129902349	12.1268851210191	10.2477258067804	11.1039434298916	11.1605395634438	10.4505720625143	10.4370237800003	10.7668518638756	11.5308110933256	10.7898840876401	10.6623568407952	10.4200128299908	10.7752481213206	10.641428617487	9.85254511445815	11.6935522954691	10.8912065097556	11.2582008975134	9.63666993060602	10.8496709389547	10.8584628494157	11.1476501324881	11.7129954993303	11.2164791168075	10.2392643676314	11.0391109701548	10.6898582363192	10.0820292554276	10.9453414101732	10.7931074246437	9.88784508955372	10.7899003852276	11.6249096608902	10.8743666501409	10.6546807764395	10.7820972667441	8.89073243084704	11.2676528343911	10.7647803829942	10.4870159754459	10.4408172711724	10.396679696635	10.6764860417019	9.91092899271967	10.6903035947742	10.3954163159117	10.9180880275702	10.1917624957587	10.6804298542816	10.1149525844807	11.9527958385492	10.6536870460471	11.3487004949352	10.3287310185797	9.72665243544554	9.45198377723019	10.5128688283146	12.6325658678981	11.2329185291673	10.8074837283646	10.7402614279883	11.2209103216487	10.3655788162118	9.93052742198894	10.7453297837573	10.2237965942741	10.7327016582342	10.5475597206369	11.5228610202152	11.8885453974046	10.4286428211112	10.656728744725	11.2429001787304	10.3916087824533	11.0883642439919	10.0031805645264	10.9171035073159	9.66306526230751	10.6291926681457	11.6528987370328	10.4419067045422	10.751209288223	10.8501868376458	10.7048287465736	11.9838094930503	10.9964805503657	9.81937919407894	11.0609930854546	11.1421198244588	11.6198118902705	10.0985585179384	10.2712879329298	12.570593377154	10.6153629574069	9.29870413213377	10.2372936274696	10.9542035820169	10.328921712525	10.973474954601	10.6222074317217	11.2739529119866	10.3851937323092	9.46201345256599	10.068496159194	10.7323709661605	9.76985271669753	10.6552265892322	9.70864593901015	9.14480607326538	10.5676329059459	9.84649018184784	10.8491079299017	9.30184139449071	10.7498275366888	10.6285184477095	10.5131650128335	10.3031414378583	10.4387918525783
ACVRL1	7.38719019025091	7.00682535958245	9.45049370795683	9.17957573920314	8.19865621199433	8.15316185597294	8.78558651404813	7.205773703862	9.12701930216537	9.46517251774473	8.83302288785205	8.71107497723233	9.31156214879515	7.72378379434542	7.24731993497982	8.25508051534983	8.24107745817504	10.2130312930284	8.96313595269368	7.0905888274313	8.39166033167001	9.20196460421689	8.44916515681218	8.2441687667094	8.91398142006766	7.57118379482394	8.92455422026377	8.93743855977148	8.46975169391875	8.10657340894235	9.10490272267455	7.31676121881235	9.26344527120349	8.82955467510618	7.3271304396348	7.64100404965259	9.07086424417572	9.78647874608785	8.04219014088794	9.87498595689574	7.65738276644045	8.229885890011	8.62262658596715	8.8404412030179	8.78421604335827	7.91807609801297	7.20005504989879	7.36178590181057	9.19694385785899	9.1324534598251	9.58877833759326	7.71215553172805	7.44945407636965	9.24887634283713	8.20232955853807	8.61065577440193	8.16191790611843	7.70240820818721	9.40315266350359	8.67068457168786	7.85403929652163	8.28905057971851	8.49520746718389	7.45832458133562	9.38298492535849	7.55572414351527	8.28336621294992	7.91262591557756	9.61825884789797	8.96851128475008	8.81745058420806	7.32915948378155	9.22329945607449	8.83269384492369	7.42121488207666	7.96836152003277	8.15701843850046	7.4882418427773	9.15640167314107	10.2032011563166	8	8.33886560661242	7.96410400952454	9.11844798116931	9.79437849876489	8.82232863541887	7.62602291463137	8.71594140468558	9.09064439809121	9.0177103862744	8.68372101359477	8.3390883795003	7.96289022298082	9.22994595660371	8.27994016962193	7.4711468067754	9.19620128807151	8.59342473859522	7.04853046751813	7.89841395334817	8.91246724129239	8.68366487746443	9.03666816607746	8.83304503227686	6.70312839234822	8.84420673627376	7.60550174169087	8.77767942984997	7.03226617924294	8.49883724218323	9.11735479328617	8.95705559590389	6.29834122502665	7.04309292130703	8.81230247273551	7.26864959899837	7.31125787425054	8.50890793939669	8.7237872066943	7.70332914884708	8.71391228532956	7.82491420239767	8.7932553949503	8.45320065851707	8.47870086993107	8.57066025586768	8.28437994777785	7.65015421367509	9.17318991025981	7.68590511754669	8.02923200313464	9.52017274129012	9.38231059810253	8.64102573273968	7.90353242424974	7.74118381285649	9.41315400413905	8.74259238879809	8.11736258615466	8.82551535118311	8.69879494089191	8.91437616200295	10.2203541414901
AKT1	11.6150916293353	13.0557857316619	13.1082565401607	11.4152347292593	12.1136900822556	12.0011231459949	11.7979492256709	12.4793331411393	12.1340444175651	11.6358359975739	11.4518601785717	12.8932389520371	11.7334051865825	12.9664207334427	11.6227656670162	12.0080644006517	10.7377121083874	11.1033337116149	11.2861996423338	11.3815483585772	12.0791314002676	12.789022090367	12.0331442095772	11.7692717267848	12.251719092606	10.9468185699644	11.4481576131943	10.7197994941703	11.3253897878766	11.7792802429049	11.5698650997145	11.3508839471414	12.7898535291673	10.8621336435453	11.5961804363789	11.7540105981043	11.7125699883286	11.6702623307479	11.4266840818496	13.0433383525414	12.7488176025556	12.2354129436976	11.5503620154007	13.1417638976511	11.4944606139081	11.9909052385467	10.80263752703	12.1189183682614	11.4593957557438	11.6416950377443	12.2167973820981	11.6518230755505	12.5519437256057	12.1876768286256	11.1662007504322	11.9843614904487	10.97939661268	10.9096981118067	11.297655713899	11.6105773448728	11.418822422291	11.3937497456673	9.82009437715114	11.1061834061168	12.2961476352006	11.8147226432338	11.8449685478942	11.2046139354167	11.988553333065	12.3553428366967	11.1184804265827	11.562094521315	11.2670207254273	12.2766885748651	10.861032609999	10.9337275331885	11.6197981376347	11.5044863251677	11.7993140048855	11.5384799642373	12.3160325746521	11.4849185338198	11.3792538046898	12.3083873846439	11.2556954555122	11.2346797399579	11.1870798409059	11.0547128381887	11.2392763033077	12.7878495181575	11.6258229758157	11.8989527606376	11.0745228298622	12.0684491340313	12.8024961704804	11.1210348336839	12.922708895755	11.9004102344345	11.0076300164425	11.4199549125279	12.2136419396018	11.9470195515347	12.525033792857	11.5357516595636	11.3303791275806	11.6147052436773	11.853843643614	12.030639550992	12.0477067358945	12.5054964881053	10.8411397319409	11.4416266430968	11.144008118923	11.7126860492305	12.6329815696065	11.1155183995331	11.7813679106323	12.0426751136261	13.1521105166886	11.4160374587851	11.7512134733383	11.9875411534642	11.6474494320688	12.7329835345767	11.9267333334583	11.8899868089866	11.7550377750703	11.696663311473	12.0036654768746	11.9233274854192	11.8675374439425	11.653364608057	11.2928162520449	13.3327079336406	11.7673113294675	12.8906765795648	11.7019042117297	11.3464140042551	11.9547197740935	12.900349850255	11.7161678297972	11.4330272407346	11.7782989391695
AKT2	11.5413434984091	11.5884850976575	11.7557012932393	11.691734796684	11.3797303330594	11.3389758834914	11.1139374635304	11.3267384424622	12.0401801104011	11.5003190692447	12.8162436924571	11.2062085294308	11.6738213931125	11.1408106028639	12.6035197151269	11.0326518897498	9.91570313824237	11.1539446345281	11.2195557691669	11.4594316186373	13.7266013509226	11.6424037470069	11.0832532652372	12.0144424736273	12.5192430943612	11.0174696034143	11.169129546641	10.2287585769501	12.671379627977	11.9618331080249	12.0440969427576	11.2816924552003	11.8451332534344	10.5944739048709	10.9186843796955	11.0708588787632	12.179548371163	12.7588540476268	11.4174517105936	11.1342851242953	11.7252512126528	10.6632378650928	11.2503990950818	11.9075028596598	12.4674017652051	11.7164893952985	11.5846806968252	10.6290924661242	11.5230375116655	10.8995608496936	10.9080472934339	11.5018371849023	11.1805681018656	10.9231268908044	11.8370483736865	11.0871379330814	11.2078745543581	11.1641149864668	10.4511389752769	11.0984466665774	11.2735100618439	11.0186522544447	12.2159849086936	11.1326603771473	10.8416272431461	11.6690932206713	11.4843143880507	11.6242105844241	11.7758736123518	11.483316994093	10.3208005488816	11.8547437389955	10.5712596542751	11.7042624727093	10.8873653347449	10.664411727855	10.9249386596931	12.0708052235405	11.1045528905952	11.3855766367769	11.010444185169	11.6755822010056	10.5723023174381	11.6628285671834	11.0552146380886	13.2272955429059	12.1178670848063	10.8348028474883	11.0433622781441	10.9816885716396	11.6924237107541	10.428831222623	10.1147834472499	11.3640197164545	10.8820010294981	11.892948778383	10.6673333416052	11.3808776872906	11.9505668320367	11.54687999429	11.061438701377	10.5820666922818	11.1091711723534	11.4507112344594	11.2198824294289	11.3883671502985	10.9892241765545	11.6149720448322	11.3341391788382	10.6361714416359	10.4263591139372	10.9986397879689	11.2287946453782	11.3268451571144	10.1192913248628	11.3946556126973	11.5206481430541	10.8943175827428	11.385673695003	11.1374586949938	9.9668904076145	10.4083828190787	11.8816646193203	11.3620205107923	11.5996850791802	11.7366006476055	11.2840664141199	11.4994024492633	10.5337482673172	11.9536108239039	10.8497960222456	12.4204892445181	13.054802700324	11.7153142617821	11.0761007516028	11.4956002348357	11.883777350224	11.556683267282	10.9245007765573	12.1931433838388	11.3188873433348	11.6528718552678	11.5538548473646
AKT3	10.4775862658988	6.42443506285628	8.33813021192356	9.28768467953874	10.8586493304579	7.0264459803038	10.4798004697005	10.9166557759125	7.82079803938811	8.68378065584001	12.2522662710257	8.02874594222712	8.15929616187696	7.56869339115828	7.53685331172637	10.7407505171784	9.76021262832075	10.2390853206354	11.8733787437218	10.2139547578639	11.5080373809611	7.52302868760579	7.54255986962375	10.6075522497613	10.5869523475531	11.100064376993	9.03297690853741	9.85638662046763	10.9564995833523	7.32376635941973	10.6793745325914	9.28965467027507	9.27653621265975	11.2309270906011	6.43804495025273	6.11443990753138	11.0761608924353	11.0264750291222	6.16076290907334	8.66387471524061	6.36645336237925	7.68822232932167	11.2396999558561	7.00664586269146	9.91670055530615	7.08464896517965	10.8586648694568	6.78993786898019	7.66847373984843	11.8503861127424	8.87936269338524	6.63412565261103	9.73871211365437	10.2947126373692	7.40342111984747	12.3070015281071	7.76143820582497	7.25232482161282	9.57100740618053	7.59741943700998	10.0944868092323	10.3916302615174	8.64367584162262	7.53627830373116	8.40430709734359	5.96186175144284	12.1102973330686	6.5816901864493	11.6067706984969	8.73257108631753	9.67437413867576	8.22597859657347	11.2691792886252	8.81312702117542	9.49362331874336	13.2379433733767	7.29992231907148	10.7710767402628	9.74327764544705	8.68462590724072	6.67595703294175	8.15599203569233	10.7513013579554	11.3260024581075	9.42301083020672	9.37992414843191	12.1133710279841	11.3824727247794	8.54091069904335	8.23038556792435	8.28780932539885	7.95738648859762	11.7570524242394	9.37377217130292	7.18119202052198	13.0617154540953	8.34430478601183	8.44143368024743	6.92641460820228	7.64802675792929	7.75267500994315	10.5099629976046	12.1325832685708	10.882887553225	6.79885409298393	8.83556095536013	7.09856904467885	9.02970409869815	10.9171109683289	8.4945556167095	9.11735479328617	8.14133060186141	8.39658337605213	7.69352877414085	10.1510546042223	10.0792314232651	8.14853759354189	9.20184946524108	9.01329475452849	6.18653819336539	9.33912401997032	8.00999092892082	10.8343209260413	8.70843902338685	10.476817071429	8.67681745501734	11.2933739331159	9.03392675554828	9.42362648970017	9.65795077420196	9.440578523508	8.24312160745473	9.87096263591685	6.66865810529098	8.69630686400424	9.90661254945991	9.76796095446912	10.0686842445179	9.40005541359387	10.5409029520106	7.07260962648889	7.94003163835027	8.77818228798364
ANXA1	14.7523545105364	10.6498220054448	12.5096240972621	11.408908189024	11.3413853886317	10.9644419539935	12.0709158852509	13.3800822132013	12.3111125264473	11.9374804918124	11.8205499618291	13.0349210157411	12.5069125034011	9.76667631766781	14.8815394011823	12.5314813734361	14.0454525270988	12.6369123152707	11.1077924692811	14.0435314550117	11.0714422504967	12.9826816936139	10.8978000875236	12.8844720032355	12.0694296272913	11.9633693571597	14.1698545556286	12.0698894236733	12.8258472274729	11.5488315392346	11.4964893135767	11.9442728176116	12.0446331825353	10.1219737700104	9.71449109841889	11.5124293759207	11.3847729595142	12.1631055755151	10.4393738023534	12.2258249999921	13.0888826268336	12.9405852240751	10.5237481614705	10.8190773698532	13.491765429905	11.3211107118921	14.0358816090081	10.4173778660772	11.2263158493355	13.6090863731469	12.9471894504771	9.54461482175379	12.842609628045	11.886908277032	12.1261494833996	11.872763362853	10.7628636872155	11.1992060925334	12.4425677450872	11.7338457765956	11.206904466119	12.2036141244654	14.5898266746554	12.6255969842075	14.2908972176386	10.9726711167957	12.0599527793871	9.56674096288044	11.5015535928334	11.6260283920172	12.9171184293033	13.8447253767724	13.0932095636105	12.0680829571173	10.3595409363668	12.9471730095183	13.2660412875912	9.9244413923392	10.4171774119064	12.5646496773073	14.2579034197389	12.1845747501286	10.9827012995534	10.4408795466745	12.5019192669402	12.9380670447817	11.5243507142511	12.5191988573264	11.8788977300502	12.6548664654418	10.7524308263773	14.0104843977886	13.593321087352	13.7380817012165	10.7267375722977	11.2740636032853	11.6586220924567	13.0985305559111	10.6056739632108	11.9790106914505	11.436534577347	11.2863382796952	13.431158045193	13.1914371165783	13.7354608282828	10.2734692661773	13.2499430305315	14.0133575712869	8.0788766437119	13.6132599801812	11.5548286414299	10.8871444415968	9.81862531389699	12.7643864651579	13.6045416467024	12.7312214336476	10.7940421469368	10.7119852432646	12.9187868528963	10.3613626321057	11.3830454264977	13.4100140246064	12.8812363474279	13.1905268988567	13.4354228461686	12.1547485036649	12.5732400704317	10.3231448555794	12.4212601236723	12.5794950846644	11.2094716428997	12.1998072844902	10.6502439865534	13.2491208617695	10.6739980121618	11.8857039985573	11.9907918107653	12.3708971489584	10.3523193548468	13.4318631938951	10.2513403827886	11.9780597412738	12.170472795937
ANXA7	10.426631672621	11.4222119724421	11.4230160843855	11.7261372503168	10.8763711349107	11.9878999369524	12.2257316293728	10.7847820518268	11.1281812532629	11.676565376288	11.6436127144428	10.7180618898373	12.1449322269144	11.0325899075156	11.0155265607374	10.9950533984459	11.6267539617756	11.7050405018299	10.9965723484423	11.2123869477911	11.4343780276117	10.9649111900246	11.404279418781	10.6922754911987	10.8571801393242	11.0694296272913	11.5776459712874	12.0384011992575	11.8432576358244	11.2004327489357	10.2259304111711	11.3592608936346	11.0033211356055	12.2440307755644	11.3629739023337	12.1391132335307	10.9700843147523	10.7354967918142	11.0515556355742	11.0164252820863	11.6613060277244	11.1165843903757	11.9262070283151	11.5123997450997	10.7390464202498	10.7786439086084	11.6432023204309	11.615004241635	11.6187663161432	11.7794279965214	10.9366379390026	11.632195497183	11.5600748458081	11.1922311595191	11.9519621853654	11.4242555357508	11.6118224867201	12.0276537792706	12.5311133672729	10.9890467350755	11.0720789962956	11.3166435744824	11.5425821166657	11.6810143461234	11.145792071541	10.8006087437406	11.4387190923481	10.5873274827783	11.3638938208643	10.938190208995	11.6560270393539	11.7406746348955	10.9364171014318	11.5088544731331	11.6009535868385	11.5285566683783	11.5003041290229	11.2561202131014	11.6037283313906	11.7042495020019	11.3047791037393	11.221556913766	11.2162305179359	11.2928450037621	11.5266703961916	10.944236207955	11.5817043071914	11.9431631324303	11.5258584424395	11.4114103559937	12.0690636991876	10.7908860469193	12.0681535121916	10.934752370963	11.4504225665807	11.9421075903637	11.6588362772235	11.4742027951896	11.5667485724027	11.5342542405341	11.148781613198	10.8482160493133	11.601650094585	11.5411256626083	11.3145266002474	11.5327163104993	11.3302726740222	12.2657644649186	11.2085513993346	11.1612137803782	11.9028310667229	11.1981441928224	11.4149071718189	11.7736914471132	12.032882577999	10.7386243031172	11.1153493286276	11.5148816849714	11.9401373793565	10.8492017800031	11.8357109503302	12.2375565484175	11.5754494301273	11.4304734601378	11.7208171176724	11.8624746384157	11.0922484087519	11.4821272796483	11.6010371855248	12.0040834950972	10.3042258148562	10.9435038196656	10.6768386064742	11.0577480951471	11.8610985405859	10.2709493557097	11.6171414216185	11.1455309877241	11.3995289454942	11.1249484266811	11.2218650005816	11.4250165353007	11.4053648720606
AR	1.68081942463599	1.99055556878303	1.02665843815573	4.34217780922726	1.77993205081457	0	1.91422007242074	0	3.35620016439965	8.18498440851376	5.39590938015592	6.17191734949879	3.24348629552317	4.1787385398462	2.34150192221012	2.1807843910787	5.84870806005514	5.50948049824452	2.86062516970056	0	2.90917785765831	4.10149040273294	4.70525360859623	3.912285792326	3.37056884814398	1.83276851894038	8.96918215505185	7.93634937113664	6.45713952042518	2.69434534956372	4.50481739897948	1.18103892443167	5.68413144267506	5.7124692226996	1.54537535887256	5.46929341213983	3.82320926743736	4.36312200502479	1.59239723519794	4.50710324923925	7.47638978893174	1.95706024053702	2.5365254298435	5.93877742901775	5.71903554844428	4.98497662964181	0.328032190303862	3.21768051874097	3.19236778334209	3.60844260964831	6.83685829055999	7.05281798761583	3.22145952048278	4.67570303981959	2.60599205600296	3.31202615744334	6.2817223566269	2.1387161893259	5.23812572761053	4.04403558695303	5.72259990473054	6.3563480836349	5.84383816066173	7.94591197787334	2.9918256586977	0.537047519404657	2.12548579715938	6.47384859167697	5.26730731580916	5.66321081942278	4.63758126684375	6.08442361782185	4.7471886528418	4.30828805704821	5.18501018645216	3.3521228987732	2.13658515284763	4.76572037532619	3.8630860573606	5.47519839990002	2.24792751344359	6.76839608098469	3.13446739280469	3.36176835941915	4.151858816727	2.92613229224353	5.56948197786928	2.49231468489253	3.67354511755837	6.72010058025791	2.79279289667985	2.64434085388945	1.35963361304804	5.17231948999904	6.83426877406835	3.33005638102212	8.4305110946243	4.37856711045748	2.02488699931318	3.01076193920001	2.23906192351974	3.66019846183785	5.32304935444846	6.59620764992542	5.12727421196657	3.08562860437745	1.04180368765708	3.47474752272471	2.35411359249238	5.29343302317894	7.17278751240059	1.35715784871975	1.50731260441194	0	5.4841349080188	0	1.74351496805007	11.2873718633373	3.58428908589306	0.390667685559667	5.4107583023041	5.60575506687028	2.91573121869403	2.08065766334523	3.83671188581834	6.02586377399392	1.55399937499367	2.58796498888268	2.70533656135594	1.02743718270685	1.60587356630285	3.04147079509372	0.698485207656824	1.03513119802949	0.967685081074146	0	1.00992040959306	2.1171963291633	3.33149025783934	3.05588975819628	4.15271885327587	2.60980223187776	4.94341034016668
ARID1A	12.1693331496703	11.6999584505288	10.4251739333786	11.5731217008929	11.723230033821	10.3049900961822	11.8126466266101	10.7674975576239	10.9379769628042	11.5258682277349	12.1378813107847	10.7158161694752	11.7467578288534	12.3302474601868	11.1309952008979	11.8759412884976	11.0930807861945	11.4818650072227	11.0135320479329	11.0143762168136	11.5768244312775	10.7838985888225	11.4686851296293	11.232996451285	11.4638308623226	11.9288662382259	11.3805909342659	11.5520013843973	11.9240404849185	11.349811981019	10.903558031284	9.5125508559243	12.0122613753376	11.7666324277781	11.5362375005373	10.2878162498531	10.71506967938	10.9412970844199	11.1852904917954	11.5765504806136	10.8880963260356	11.4642649437179	12.6337081919664	10.5452734106864	11.5478488687848	11.357942315184	10.2918268439238	11.7542361386318	11.9585889635948	10.9631634140026	11.0101224438549	10.503666754576	11.6843146948765	11.9182483214277	11.4577604857162	11.8534733114926	11.3080204187682	11.1327439067881	11.9246640705545	11.6451900658649	12.4999679331242	11.3116915595597	11.6435450751133	11.6672978559717	10.5278776990336	10.4718479210661	11.4031771675432	11.9195672735264	11.9624731093944	11.178440773979	10.6861678285602	10.9556862286986	11.7718897040786	11.3532681479613	10.7099281539202	11.7556762603575	12.0455446742497	11.7016010362757	10.313971371059	10.8760487621081	10.7348112148909	11.7997349224789	11.4211128202436	11.266886073851	11.061904425448	11.402873501153	12.4010341548946	11.2773920236966	11.4059338766013	10.9088129077395	11.0580526232344	10.9892951470358	11.395410960249	11.255512535252	12.0916337267278	11.9226698767039	10.9052816949673	11.294637978427	10.7414669864011	11.1941412388631	10.5709372240564	11.0186870236264	11.4387762614093	11.6160571409861	11.0693557777186	11.8935973212858	12.0735257101069	11.7156188590748	12.0338600113692	11.9912950785429	11.8548411182475	10.8173354571898	10.8957115935825	11.0472807182705	12.0038481551992	10.0305154108172	12.1791160116482	12.0891823095703	11.362584950839	11.9571455830091	11.3246474901105	11.3445622270331	10.5907273830741	9.8006200675791	11.6201831618894	10.890363088366	10.5295184016432	10.5529092065339	10.5264014259875	10.8457958071648	11.8040906767982	11.3567875696196	10.3164738782622	10.5662633850586	11.5384799642373	10.802540598317	10.1204322975351	10.8960598859301	11.445071765999	11.3875327168359	12.2705026624794	11.6841612556234	11.7655181711869
ASNS	11.1853524440714	10.0553231124195	10.2371023821347	8.46866069525516	10.0127362630997	10.4029054690463	10.0475874636399	9.41496212212939	12.323026604426	9.49712132508401	10.0997948845283	10.4889246612734	10.0466056487951	8.92888843939764	10.8763327609732	9.35032927648653	9.7887395366449	9.98823022306046	10.7261244747943	10.0269106912245	9.50969188369968	8.29122135971075	10.4062581619576	11.1195247790574	11.0601892784634	10.8692391017589	10.6274609271267	9.73184848780454	11.1993533463823	10.6116519196997	11.2933336953065	9.93115855484374	8.50775896872647	9.79386825316605	10.2955852861319	9.24905180789458	10.0377253923609	10.4182532078591	10.1295534969084	9.84940197315024	10.3912328470565	10.3802445904782	9.55439699117587	10.5751988592284	9.40894108461504	10.4751963728899	11.4910463642131	11.3746917520969	10.0493312641622	9.76377671707978	9.35239219131203	10.3104991791522	10.3894485038537	9.4316793661148	12.7239552548903	9.45842301905701	10.1619380549277	9.96820597867691	9.00520627541179	10.3922959539428	9.55385964599108	11.2733527007728	12.9504082665808	10.1868323124171	8.64710220589958	10.1003075343043	10.5874587570657	10.4717158531166	9.93080237562741	10.3545028507851	9.50249172146137	10.99040892615	10.0860831349965	10.842436776802	9.98390566262789	9.28980680588168	9.87628824592698	9.97946806824691	10.744405000769	10.1849497067155	8.73893668167614	9.30703227611971	10.4618375186368	11.722060380242	9.56003662137983	10.1914540812872	11.1999483442711	11.5744705382558	9.61927177158764	9.7122260493477	11.1212744824096	12.5651425494357	10.9894725579664	10.9215806335596	9.75721830927196	10.3089987870864	9.83593038855709	10.7414079964961	11.3096639261085	12.258901642269	11.4769334890335	10.6519486107234	8.65077891707731	11.0649582773235	11.4402203279144	10.3363838195123	10.0872241403395	10.6684152343509	10.6474134539634	10.2107078672484	8.48719288618834	10.5015187618936	8.76374684524645	9.48116168005023	9.21586785056455	10.7820317217244	10.5853944931466	8.5860366080217	10.6984095004082	11.4352795866441	7.98190401414514	10.9300128518212	10.9117664706596	9.60147367775622	9.66116526751479	10.1729274896038	11.5986899374499	10.8707885260639	9.96142654163403	10.3129169807096	11.1722649775189	10.5771172175769	9.99677004753986	11.2302366435734	8.54948050537795	11.1783038208827	10.6757541948083	9.96346256387215	10.5772966378792	10.1309051365947	7.57066025586768	10.8309112797428	9.7815252860677
