TCGA-3C-AALI	TCGA-A2-A04Y	TCGA-A2-A0CW	TCGA-A2-A0D4	TCGA-A2-A0EY	TCGA-A2-A0SV	TCGA-A2-A0SW	TCGA-A2-A0T3	TCGA-A2-A0YG	TCGA-A2-A0YH	TCGA-A2-A0YT	TCGA-A2-A1FW	TCGA-A2-A1FX	TCGA-A2-A1G4	TCGA-A2-A25B	TCGA-A2-A25C	TCGA-A2-A25E	TCGA-A2-A4S3	TCGA-A7-A0CJ	TCGA-A7-A13F	TCGA-A7-A2KD	TCGA-A7-A6VX	TCGA-A8-A06N	TCGA-A8-A06R	TCGA-A8-A06X	TCGA-A8-A06Z	TCGA-A8-A075	TCGA-A8-A076	TCGA-A8-A079	TCGA-A8-A07W	TCGA-A8-A081	TCGA-A8-A082	TCGA-A8-A08G	TCGA-A8-A08P	TCGA-A8-A095	TCGA-A8-A09C	TCGA-A8-A09I	TCGA-A8-A09M	TCGA-A8-A09R	TCGA-A8-A09W	TCGA-A8-A09Z	TCGA-AC-A2BM	TCGA-AN-A0AJ	TCGA-AN-A0AK	TCGA-AN-A0AM	TCGA-AN-A0FF	TCGA-AN-A0FY	TCGA-AO-A03N	TCGA-AO-A03O	TCGA-AO-A03P	TCGA-AO-A0J3	TCGA-AO-A0J7	TCGA-AO-A0JD	TCGA-AO-A0JM	TCGA-AO-A1KP	TCGA-AO-A1KS	TCGA-AO-A1KT	TCGA-AR-A0TQ	TCGA-AR-A0TT	TCGA-AR-A0TV	TCGA-AR-A0TY	TCGA-AR-A0U2	TCGA-AR-A1AW	TCGA-AR-A24K	TCGA-AR-A24N	TCGA-AR-A24R	TCGA-AR-A24S	TCGA-AR-A24Z	TCGA-AR-A250	TCGA-AR-A2LK	TCGA-B6-A0IB	TCGA-B6-A0RL	TCGA-BH-A0AU	TCGA-BH-A0BF	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C3	TCGA-BH-A0C7	TCGA-BH-A0HU	TCGA-BH-A0HW	TCGA-BH-A0HY	TCGA-BH-A18L	TCGA-BH-A18U	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FD	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A202	TCGA-BH-A204	TCGA-BH-A209	TCGA-C8-A12M	TCGA-C8-A12U	TCGA-C8-A12W	TCGA-C8-A130	TCGA-C8-A1HG	TCGA-C8-A1HL	TCGA-C8-A1HM	TCGA-C8-A1HN	TCGA-C8-A26V	TCGA-C8-A26W	TCGA-C8-A274	TCGA-C8-A27A	TCGA-C8-A3M8	TCGA-C8-A8HQ	TCGA-D8-A13Y	TCGA-D8-A1J8	TCGA-D8-A1J9	TCGA-D8-A1JC	TCGA-D8-A1JD	TCGA-D8-A1JE	TCGA-D8-A1JI	TCGA-D8-A1JJ	TCGA-D8-A1JT	TCGA-D8-A1X5	TCGA-D8-A1X6	TCGA-D8-A1X7	TCGA-D8-A1XF	TCGA-D8-A1XL	TCGA-D8-A1XR	TCGA-D8-A1XZ	TCGA-D8-A1Y1	TCGA-D8-A1Y2	TCGA-D8-A1Y3	TCGA-D8-A27N	TCGA-D8-A27R	TCGA-D8-A27W	TCGA-E2-A109	TCGA-E2-A10C	TCGA-E2-A14O	TCGA-E2-A155	TCGA-E2-A15A	TCGA-E2-A15K	TCGA-E2-A15S	TCGA-E2-A15T	TCGA-E2-A1L7	TCGA-E2-A56Z	TCGA-E2-A9RU	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NI	TCGA-E9-A1R4	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RE	TCGA-E9-A1RG	TCGA-E9-A226	TCGA-E9-A228	TCGA-E9-A22A	TCGA-E9-A22D	TCGA-E9-A22E	TCGA-E9-A22H	TCGA-E9-A249	TCGA-E9-A2JS	TCGA-E9-A3HO	TCGA-E9-A54Y	TCGA-E9-A5UO	TCGA-EW-A1OX	TCGA-EW-A1OY	TCGA-EW-A1OZ	TCGA-EW-A1P0	TCGA-EW-A2FW	TCGA-GM-A2DO	TCGA-LL-A5YM	TCGA-S3-AA17	TCGA-Z7-A8R6
ACACA	0.814410341	2.820763496	2.260431061	1.905684031	2.687841821	3.095322848	3.19345946	1.732579601	1.995747893	2.889008373	2.579788657	2.471000307	2.122938083	2.180202285	1.286383782	1.317493953	3.085250926	1.331077151	1.039330893	2.68036374	2.148530326	1.292986177	1.811250038	1.536447911	1.816151608	3.377706076	1.344987415	1.470370264	1.424645843	2.197354116	2.599019592	0.718245399	2.06895546	2.475368851	0.717309781	2.771651991	1.664473191	2.942622989	3.09958319	3.38782494	2.000411243	2.872427102	2.165758007	3.101867051	2.495945119	2.075228179	0.589658814	2.695041919	2.436840729	2.149825561	2.100043596	3.347172688	1.953333326	2.541277701	0.201522279	2.79340266	2.224708443	1.503107917	3.344141957	2.837374449	1.920126738	0.304791506	1.434891959	2.75024211	1.230302314	2.590317839	2.040211812	1.624937457	2.584523988	1.841212143	1.95816818	2.428912751	3.155680915	2.570211741	1.660700238	3.219844105	3.225354743	2.553047208	3.199474926	3.441703054	3.008301097	2.502912888	2.280017538	2.706826635	2.653098737	1.816457729	2.394545744	2.556150682	1.551083526	2.969200109	2.112587827	1.990622106	0.53366515	2.222116454	2.536356498	3.524480283	1.337444603	2.684493602	3.034156357	2.158235498	0.841110432	1.034768395	1.021840345	1.502984021	2.665736198	1.67307273	0.992603999	0.953343033	2.999055171	3.18396645	2.901324203	2.218169048	2.293806717	1.098038214	2.440045835	0.150609637	1.930585567	1.146434379	2.071050587	2.006529057	1.588731153	1.916325617	1.722435329	1.463838351	2.764449537	2.608445364	3.011644251	2.616979292	2.72776547	2.106759563	2.978679166	2.84607271	4.327390174	0.916959347	1.616823145	2.798674668	0.837607918	1.895184112	2.214946725	1.091584719	2.788053244	2.492436436	1.843614533	1.627597307	2.262108336	1.228946885	2.64687224	2.270622341	1.974597006	1.343567794	2.334727535	1.411586679	1.489826995	1.151332957	2.514580894	2.56205275	2.511030872	2.681499202	1.833470377	2.174142774	1.808123278	1.863750991	2.176466095	1.34979878	2.057207467	2.531761878	1.959259487
ACVRL1	-0.793763194	-0.564417989	-0.67775428	-0.490836591	-0.490043107	-0.496542095	-0.507431262	-0.506141594	-0.397699446	-0.595360014	-0.485717783	-0.864405968	-0.550237535	-0.873701189	-0.689921253	-0.581072443	-0.535531143	-0.176475976	-0.644415928	-0.605200343	-0.693327171	-0.716695447	-0.338279258	-0.321393064	-0.521675733	-0.741210118	-0.650028542	-0.59273262	-0.677664805	-0.878036722	-0.725357538	-0.804655103	-0.323002629	-0.519327054	-0.541581763	-0.446910643	-0.782666903	-0.656215737	-0.782925009	-0.37603131	-0.600839797	-0.5644727	-0.542523412	-0.538926504	-0.539961193	-0.687431859	-0.862202688	-0.755499634	-0.62249066	-0.476659242	-0.908566517	-0.594389306	-0.404767722	-0.002357084	-0.276284913	-0.78553143	-0.258771253	-0.936552519	-0.778293578	-0.6425949	-0.598173857	-0.335527459	-0.487583127	-0.778372105	-0.588775487	0.004491992	-0.344024979	-0.850159809	-0.43866291	-0.795297584	-0.73772598	-0.549856851	-0.393074875	-0.466829716	-0.603923362	-0.57822439	-0.666847925	-0.411386342	-0.730068859	-0.790576624	-0.318955325	-0.364984377	0.273013904	-0.479381147	-0.623645687	-0.729104372	-0.730752636	-0.739276317	-0.762105353	-0.483564321	-0.627181627	-0.831037458	-0.296519216	-0.561584427	-0.642686004	-0.637467137	-0.72355696	-0.838164198	-0.726245817	-1.039222921	-0.690244594	-0.573514886	-0.601546273	-0.877260549	-0.543489695	-0.992575368	-0.810454779	-0.805621087	-0.757927959	-0.622335384	-0.622484203	-0.829546	-1.032973282	-1.299853021	-0.712755161	-0.375372849	-0.56862301	-0.601273736	-0.786531522	-0.820115906	-0.284307041	-0.753262963	-0.645647068	-0.502494045	-0.418098869	-0.665296492	-0.622243292	-0.619972624	-0.601582407	-0.72023479	0.413134394	-0.452059952	-0.591802624	-0.891159231	-0.630775334	-0.297016109	-0.764789565	-0.437976433	-0.700378057	-0.924702237	-0.635858238	-0.741809036	-0.520399441	-0.602702632	-0.858114772	-0.589951733	-0.738693491	-0.702789033	-0.817082343	-0.472025976	-0.630354471	-0.461967044	-0.736693803	-0.82734951	-0.910440926	-0.493282645	-0.494012571	-0.369484494	-0.733594868	-0.675900157	-0.652632073	-0.555297063	-0.772171148	-0.676729234	-0.493575311	-0.719156432	-1.015863148
AKT1	0.991346306	1.043278828	1.378506855	0.500088106	1.12733798	1.07170577	1.031594971	0.707563105	1.827195036	1.386642678	1.342110157	2.296660668	0.95407024	1.353458364	1.6924744	1.885334819	0.408959335	0.510896448	0.916994125	0.97147229	1.234871152	1.328597663	0.120281595	1.675227739	1.593088497	0.579728675	1.562043724	1.490002445	0.855387833	0.760214439	1.190171901	1.084349293	1.094683982	0.759243283	0.453633591	1.466618157	1.750669837	0.973605783	0.953205696	1.115285982	1.711399662	0.489488527	0.827004972	1.656616777	1.268573186	1.478263931	1.076122709	1.507590196	1.03241092	1.057689586	1.536318366	1.06490707	1.683203547	1.259122306	0.869238763	1.156638708	1.821240083	1.583104445	0.488222993	0.661197573	1.258486638	0.268570718	0.644038675	1.439264939	1.167462399	1.149741282	1.632549986	1.274803199	0.14914271	1.134801215	1.253142779	0.950308141	0.72827493	0.926596671	1.087059969	1.045667345	0.791035583	1.173078014	1.326335463	1.213030095	0.877863043	0.896180858	0.856853297	1.159970349	0.954928909	0.970469689	1.352296942	1.334365086	1.383725826	0.600723615	0.980844095	1.085963451	0.913550051	0.939476274	0.63743472	1.022765097	-0.079313029	1.872149109	1.155853349	0.549296778	1.002097428	0.636366445	1.063191805	1.383840635	1.104797878	1.44834099	1.2959599	1.027846269	1.567277864	1.339294167	1.665133419	1.814795447	0.977291249	0.867398086	0.988212238	0.367041661	1.377580976	1.033779742	0.441001905	1.139726563	1.047769693	1.280775608	1.092642403	1.32474817	0.734224135	2.003638809	0.845458055	1.110326553	1.670300327	0.44209969	1.067656823	1.666551554	0.854964864	1.425449883	1.096379028	1.230321534	1.674832529	1.265029363	1.33893032	1.199033785	1.656924843	1.323097766	1.555746454	1.718985194	0.778071351	1.589250376	1.420173573	1.280122206	1.200870356	1.182152179	2.222252517	1.434290533	0.875713321	1.529516939	0.690714278	0.825536009	0.736253495	0.639880619	1.475479523	1.115628492	1.46099741	1.967718321	1.31092825	1.483710491	0.861229463	1.119757157	1.594496749
AKT2	0.991346306	1.043278828	1.378506855	0.500088106	1.12733798	1.07170577	1.031594971	0.707563105	1.827195036	1.386642678	1.342110157	2.296660668	0.95407024	1.353458364	1.6924744	1.885334819	0.408959335	0.510896448	0.916994125	0.97147229	1.234871152	1.328597663	0.120281595	1.675227739	1.593088497	0.579728675	1.562043724	1.490002445	0.855387833	0.760214439	1.190171901	1.084349293	1.094683982	0.759243283	0.453633591	1.466618157	1.750669837	0.973605783	0.953205696	1.115285982	1.711399662	0.489488527	0.827004972	1.656616777	1.268573186	1.478263931	1.076122709	1.507590196	1.03241092	1.057689586	1.536318366	1.06490707	1.683203547	1.259122306	0.869238763	1.156638708	1.821240083	1.583104445	0.488222993	0.661197573	1.258486638	0.268570718	0.644038675	1.439264939	1.167462399	1.149741282	1.632549986	1.274803199	0.14914271	1.134801215	1.253142779	0.950308141	0.72827493	0.926596671	1.087059969	1.045667345	0.791035583	1.173078014	1.326335463	1.213030095	0.877863043	0.896180858	0.856853297	1.159970349	0.954928909	0.970469689	1.352296942	1.334365086	1.383725826	0.600723615	0.980844095	1.085963451	0.913550051	0.939476274	0.63743472	1.022765097	-0.079313029	1.872149109	1.155853349	0.549296778	1.002097428	0.636366445	1.063191805	1.383840635	1.104797878	1.44834099	1.2959599	1.027846269	1.567277864	1.339294167	1.665133419	1.814795447	0.977291249	0.867398086	0.988212238	0.367041661	1.377580976	1.033779742	0.441001905	1.139726563	1.047769693	1.280775608	1.092642403	1.32474817	0.734224135	2.003638809	0.845458055	1.110326553	1.670300327	0.44209969	1.067656823	1.666551554	0.854964864	1.425449883	1.096379028	1.230321534	1.674832529	1.265029363	1.33893032	1.199033785	1.656924843	1.323097766	1.555746454	1.718985194	0.778071351	1.589250376	1.420173573	1.280122206	1.200870356	1.182152179	2.222252517	1.434290533	0.875713321	1.529516939	0.690714278	0.825536009	0.736253495	0.639880619	1.475479523	1.115628492	1.46099741	1.967718321	1.31092825	1.483710491	0.861229463	1.119757157	1.594496749
AKT3	0.991346306	1.043278828	1.378506855	0.500088106	1.12733798	1.07170577	1.031594971	0.707563105	1.827195036	1.386642678	1.342110157	2.296660668	0.95407024	1.353458364	1.6924744	1.885334819	0.408959335	0.510896448	0.916994125	0.97147229	1.234871152	1.328597663	0.120281595	1.675227739	1.593088497	0.579728675	1.562043724	1.490002445	0.855387833	0.760214439	1.190171901	1.084349293	1.094683982	0.759243283	0.453633591	1.466618157	1.750669837	0.973605783	0.953205696	1.115285982	1.711399662	0.489488527	0.827004972	1.656616777	1.268573186	1.478263931	1.076122709	1.507590196	1.03241092	1.057689586	1.536318366	1.06490707	1.683203547	1.259122306	0.869238763	1.156638708	1.821240083	1.583104445	0.488222993	0.661197573	1.258486638	0.268570718	0.644038675	1.439264939	1.167462399	1.149741282	1.632549986	1.274803199	0.14914271	1.134801215	1.253142779	0.950308141	0.72827493	0.926596671	1.087059969	1.045667345	0.791035583	1.173078014	1.326335463	1.213030095	0.877863043	0.896180858	0.856853297	1.159970349	0.954928909	0.970469689	1.352296942	1.334365086	1.383725826	0.600723615	0.980844095	1.085963451	0.913550051	0.939476274	0.63743472	1.022765097	-0.079313029	1.872149109	1.155853349	0.549296778	1.002097428	0.636366445	1.063191805	1.383840635	1.104797878	1.44834099	1.2959599	1.027846269	1.567277864	1.339294167	1.665133419	1.814795447	0.977291249	0.867398086	0.988212238	0.367041661	1.377580976	1.033779742	0.441001905	1.139726563	1.047769693	1.280775608	1.092642403	1.32474817	0.734224135	2.003638809	0.845458055	1.110326553	1.670300327	0.44209969	1.067656823	1.666551554	0.854964864	1.425449883	1.096379028	1.230321534	1.674832529	1.265029363	1.33893032	1.199033785	1.656924843	1.323097766	1.555746454	1.718985194	0.778071351	1.589250376	1.420173573	1.280122206	1.200870356	1.182152179	2.222252517	1.434290533	0.875713321	1.529516939	0.690714278	0.825536009	0.736253495	0.639880619	1.475479523	1.115628492	1.46099741	1.967718321	1.31092825	1.483710491	0.861229463	1.119757157	1.594496749
ANXA1	-1.771562424	-0.417532916	-0.494822004	-0.584257532	-0.025373081	0.076935662	0.049802727	0.236946186	-0.300829966	-0.527290526	0.061724654	-0.448271067	-0.397391074	-0.366519579	0.073300027	-0.118130534	0.248646809	0.155214799	-0.830335003	-0.289837221	-0.018025776	-0.024223914	-0.528894415	0.104486561	-0.743955428	-1.336575492	0.384547667	0.572210372	0.822831528	-0.099957221	-0.838229997	-0.59567651	-0.150474851	0.352272491	-0.018250508	-1.056817468	-0.079698483	-0.255428061	-0.246018036	-0.193452834	-0.654001734	0.067805939	0.048624865	-0.039942427	0.156639029	-0.494180797	-0.375591225	-0.411554425	-0.695491988	-0.554199209	-1.347714531	-0.930920023	-0.70546596	0.837963632	1.013716893	-0.459500693	-0.163036036	0.151092004	-0.471258104	-0.160045529	-0.491501856	0.875116425	0.084918538	-0.962658865	-0.456522737	0.644275976	0.481613959	-1.09247182	0.699031441	-0.167669008	-0.839742242	-0.047077815	-0.176845014	0.295081672	0.63997603	0.513668225	-0.282647406	0.107757696	-0.55018485	-1.101256307	0.519061744	-0.258221055	1.734022598	0.221791469	-0.056341449	-0.19635139	-0.507151845	-0.288647727	-0.165943827	-0.341299917	-0.407909799	-0.684358005	-0.993721427	-0.052941316	-0.136629972	-0.264221138	0.008061064	-1.542621137	-0.953151632	-0.922775044	-0.375083474	0.49478078	0.1744433	-1.578309378	-0.781315814	-0.389090047	-1.340331657	0.015974724	0.228859102	-0.040770001	0.50956163	-0.709216905	-1.125294696	0.170672452	-1.090526083	-0.321539423	-0.554258599	-0.093278653	-0.511260105	-0.364558254	1.609125585	-0.037174177	0.235770578	0.482355407	-0.184406131	0.123833791	-0.153593262	-0.521424023	-0.485472812	0.737616	-0.137583768	-0.92651115	-0.525001427	0.077652597	-0.946964614	-0.823354362	-0.174842136	0.035303148	-0.052285721	-0.456060254	-0.01219734	-0.212733647	0.58958254	-0.175471159	-0.978705456	-0.135004618	-0.415800236	-0.00883316	-0.494244728	0.364076039	-0.120233179	0.647843754	-0.6419714	0.330640547	-0.030469048	-1.355437463	-0.53708139	-0.954785235	-0.657756495	-0.414964296	0.446112955	-0.320642647	-1.003668466	0.323407914	0.314380893	-0.35506195	-0.488971459
ANXA7	-0.723430083	-0.687089196	-0.842486785	-0.906200656	-0.769361652	-0.800740963	-0.859810002	-0.691346288	-0.759362388	-0.80744346	-0.541515983	-0.108888096	-0.634696372	-1.091701809	-0.925164441	-0.918474813	-0.879004084	-0.789347874	-0.826366589	-0.718156969	-0.718665216	-0.688935236	-0.683106677	-0.669629912	-0.881818143	-0.615700503	-0.906602847	-0.875279419	-0.842347376	-1.003800293	-0.627824464	-0.820782686	-0.670869792	-0.605173383	-0.715216515	-0.681934158	-0.907564664	-0.74188312	-1.080456259	-0.723109658	-0.763887988	-0.672670201	-0.959652053	-0.921764453	-1.017700805	-0.888877636	-0.924268367	-0.493045782	-0.704236703	-0.038477323	-0.792520713	-0.831193801	-0.835558612	-0.478931138	-0.726272591	-0.975036801	-0.67411171	-0.699189876	-0.887639098	-1.007200955	-0.756615303	-0.460024103	-0.90814763	-0.916965334	-0.924003395	-0.664713448	-0.700135794	-1.42371338	-0.588398654	-0.85664918	-0.76073362	-0.821616482	-0.670337545	-0.674996068	-0.755245324	-0.703947481	-0.845880276	-0.667812993	-0.59735181	-0.845832116	-0.585606537	-0.83699703	-0.382838646	-0.726158203	-0.10504036	-0.941941654	-0.861058236	-0.917349863	-0.682301081	-1.079273307	-0.707468276	-1.049414576	-0.716441068	-0.70771357	-0.91930767	-0.471334501	-1.076284389	-0.999891646	-0.212016309	-1.076685296	-1.108628462	-0.801525758	-0.607974645	-1.288764263	-0.637362351	-0.831250458	-0.941644397	-1.136919084	-1.16165841	-0.684113679	-0.892729161	-0.844052811	-0.608044568	-0.917808562	-0.773599688	-0.781355623	-0.979620532	-0.992456858	-1.031084455	-0.925563143	-0.352234106	-0.44443401	-0.908007061	-0.75779039	-0.788096779	-0.676569694	-0.913575114	-1.056060244	-0.551305838	-0.718754683	-0.234333063	-0.595635004	-0.786835473	-0.635262663	-0.841496438	-0.510216699	-0.843822836	-0.773843659	-0.919720887	-1.035707589	-0.859479713	-0.950016355	-0.518455479	-0.662673952	-1.002643507	-0.547914	-1.101974739	-0.986084851	-0.784994091	-0.662872823	-0.901460779	-0.742649438	-0.946084342	-0.931805913	-0.813574695	-0.603936853	-0.731935252	-0.709162846	-0.749653066	-0.817901719	-0.723103346	-0.866971884	-0.596126834	-0.575077881	-0.912065593	-0.744756883	-0.862362525
AR	1.426512307	0	0.91050067	-0.507434934	2.631653257	1.230189021	1.260974629	1.064609506	1.387463393	0.916729916	-0.217669971	1.745400693	0.975785563	0.71753287	1.333661561	1.49355081	0.373537712	0.794832447	1.082567446	1.413942599	0.864720635	1.761610709	-0.005327749	1.271515243	0.033632496	1.926021538	1.401453924	1.082502193	0.9997924	1.023227007	0.9009774	0.477538759	0.798588343	-0.063202323	0.764650437	2.615387043	1.669389745	1.315721494	0.983992781	2.075379176	0.436171723	1.178810531	1.968067225	1.644926988	0.788927593	1.864823529	1.738440668	2.711837948	2.199738694	1.821673353	1.517462312	2.746433707	1.250467877	0.376367648	0.15769094	1.872788572	0.287396424	-0.358203426	0.590682684	-0.137153861	1.275910043	0.491959396	0.355634682	1.169320629	1.36321413	0.332298257	1.962551855	1.833839377	1.337455135	1.501646879	1.481708528	1.313184309	1.54714557	1.60347703	-0.038267725	0.922933946	1.746052171	1.200248016	2.024982587	2.29781064	0.864173544	0.536653795	-0.146517123	1.433642811	1.488286983	1.395755416	2.033793193	1.133745132	1.27735378	1.27474698	0.789272838	0.766487742	1.626189761	0.893750538	0.348470008	2.69050606	0.915610972	1.592462281	1.263395916	-0.011995152	1.024213127	0.757986989	0.968565753	-0.836185154	0.956581739	2.1560994	0.523840122	1.156040199	1.930216224	0.143434037	2.379278019	2.039383453	0.631529865	0.509705034	0.077787485	-0.583189415	1.120535575	1.281005075	0.264458818	1.690901878	1.187701513	1.023132269	1.321985614	0.418071102	0.739422572	1.709446435	0.016398325	1.624946508	1.502301969	1.345401769	2.014579653	0.595918758	1.4600341	1.19957467	0.590885158	1.312912926	1.725895477	1.397720909	0.272559163	1.208090255	1.96931111	1.823282174	-0.434675915	0.357324866	2.140402639	1.386614289	2.026107568	1.60016676	1.532353428	0.107721408	1.527248412	1.108488255	1.298348943	1.008321861	1.277037856	0.382578216	0.341442444	-0.037353944	1.04052076	1.511678071	2.365269957	1.102529584	1.180398954	0.765773427	0.485648472	1.565893051	2.093657327
ARID1A	0	0.374991777	-0.054164214	0.548452408	-0.075791138	0.252027607	0.201865782	0.074399735	0.198979441	-0.001825615	-0.040247361	-0.013135458	-0.004426497	-0.118939396	-0.002340106	-0.248139914	-0.178373038	0	0.094229692	-0.138879863	0.176741409	0	-0.283800559	0.134186133	0.237959455	0.368683795	-0.037906727	-0.153349703	-0.14917984	0.172481813	0.116483958	0.343018016	0.426530044	0.212433686	0.286306284	0.160108251	-0.13321703	-0.069810042	0.046280603	-0.15073116	-0.487024545	-0.102925081	0.419663403	-0.103159747	-0.0369686	0.391856218	0.249030624	0.153376573	0.488067901	0.454380842	0.486910721	0.254165817	0.186760123	-0.157907396	-0.134654736	-0.139903251	-0.165472751	-0.129854392	0.255523393	0.134186133	-0.156151085	0.067660341	-0.132791319	0.427513537	0.057562678	-0.089478114	-0.045983534	-0.243726067	0.037110368	0.11034978	0.014894755	0.096432213	0.029965368	0.307795289	0.088300242	-0.037421398	0.00674445	0.20335223	0.130348627	-0.410926898	-0.151648416	0.183382976	0.002788478	-0.197169493	-0.123435294	0.130650208	0.264038631	0.101820928	0.022808722	0.113015266	0.123630723	0.224047184	0.404092016	0.247799966	0.174427329	0.213582095	-0.016915827	-0.383183309	0.026762635	0.536696427	-0.144074761	-0.063150237	-0.063497351	0.065920622	0.115620039	0	0.046410674	-0.123895264	-0.227253079	0.049398081	-0.041774737	-0.175912171	-0.047304194	-0.185968161	-0.016900148	-0.186404977	-0.037000368	-0.156978043	0.054775855	0.284553973	-0.04865975	-0.113464947	0.085109508	-0.206112346	0.36967609	-0.501990137	-0.380387115	0.024200674	0.273665857	-0.172129245	0.095039997	0.955239929	-0.107709698	0.090625118	0.178460406	0.921034897	0.376346408	0	0	0.047393746	0.087612309	0.166524868	-0.002340106	-0.106372959	0.130686778	-0.387424879	-0.186002799	-0.359743334	0	-0.058671533	0.152926985	0.265332063	0.213226153	0.15578029	-0.161155781	0.302468634	0	0	-0.523021943	-0.044542198	-0.152129182	0.460906187	0.119098564	0.272928279	0	0	0
ASNS	0.613709072	-0.944792608	-0.97030056	-1.898294387	-0.893399785	-0.102529504	-0.177060265	-1.295487597	1.0490608	-0.384263797	-0.95730296	-0.487263367	-1.000984443	-0.363785626	-0.98620049	-0.993052977	-1.06880947	-0.034360886	-1.432022515	-0.613166173	-1.277407711	-0.628270836	-1.191737922	-0.407728638	-0.476872929	-0.906983937	-0.77434582	-1.132950679	-1.341314879	-1.052051672	-0.964313204	-1.318560892	-0.799976137	-0.761258022	-1.158214012	-0.814883983	-0.605551358	-0.067270459	-0.81034776	-1.469420702	0.143937636	-1.417832943	-0.712651059	0.975692649	-0.858326701	-0.879036793	-1.201906849	-1.306084402	-0.933535577	-1.007637172	-0.665779945	-1.381370727	-0.248214287	-1.022701083	-1.755644277	-0.794075805	-0.9257302	-0.300497496	-0.72793311	-0.976870366	-0.39346508	-1.00662488	-0.742912698	-0.963275308	-1.078756101	-1.566211866	-0.330148841	-1.437471969	-0.8060179	-1.279528328	-0.772748349	-1.167247081	-0.761745085	-0.662494843	-0.990871796	-0.144472735	-0.801065324	-1.08314017	-1.067223053	-0.383057948	-1.316855616	-1.065842091	-0.583422634	-0.872001333	-0.43448302	-0.219068354	-0.46101216	-0.869758608	-0.696159018	-0.501355453	-0.22439046	-0.614077634	-0.799793055	-0.391430028	-0.484924339	-0.069426114	-0.579903356	-0.382744332	-1.0443503	-1.046919958	-0.237213728	-0.971903652	-0.853861291	-0.045866671	-0.509666723	-0.126129289	0.336881467	-1.290423294	-0.865914314	-1.639480924	-1.19141314	-1.40152328	-2.497097774	-1.444443834	-1.164056156	-1.15610189	-0.888471432	-1.22883859	0.24295434	-0.992232019	-1.457727182	-0.401610933	-0.748880484	-0.512026578	-0.356763994	-1.352560768	-0.726020884	-0.656410117	-0.357535276	-1.449098527	-1.112818112	-0.447385232	-0.237854947	-1.648921079	-0.259356162	-1.548908339	-1.286128132	-1.035168588	1.737544137	-0.658600827	-0.688295031	-1.194683747	-1.180445144	-0.940975153	-0.780762661	-1.105568897	-1.106701996	-0.963954203	-0.437241052	-0.246457364	-0.249466229	-1.311490175	-1.404852856	-1.033091615	-0.698463148	-1.324027211	-1.543376107	-0.849537021	-0.916044486	-0.678791804	-1.061865436	0.004988067	-1.153652789	-0.738422715	-0.708528657	-0.182840145	-1.065004785
